metric,value,step,walltime
/main_fitness,0.0,0.0,1642789521.285951
/main_fitness,0.0,1.0,1642790181.989041
/main_fitness,0.0,2.0,1642790837.423448
/main_fitness,0.0,3.0,1642791492.727466
/main_fitness,0.0,4.0,1642792147.162464
/main_fitness,0.0,5.0,1642792801.725603
/main_fitness,0.0,6.0,1642793456.90783
/main_fitness,0.0,7.0,1642794112.918955
/main_fitness,0.0,8.0,1642794764.220818
/main_fitness,0.0,9.0,1642795414.224925
/main_fitness,0.0,10.0,1642796064.181835
/main_fitness,0.0,11.0,1642796713.991668
/main_fitness,0.0,12.0,1642797366.197629
/main_fitness,0.0,13.0,1642798015.056535
/main_fitness,0.0,14.0,1642798666.395909
/main_fitness,0.0,15.0,1642799315.172063
/main_fitness,0.0,16.0,1642799964.291302
/main_fitness,0.0,17.0,1642800608.467445
/main_fitness,0.0,18.0,1642801250.547381
/main_fitness,0.20000000298023224,19.0,1642801899.706459
/main_fitness,0.20000000298023224,20.0,1642802535.589449
/main_fitness,0.20000000298023224,21.0,1642803172.279934
/main_fitness,0.20000000298023224,22.0,1642803809.488641
/main_fitness,0.20000000298023224,23.0,1642804421.596912
/main_fitness,0.20000000298023224,24.0,1642805008.438964
/main_fitness,0.20000000298023224,25.0,1642805577.08632
/main_fitness,0.20000000298023224,26.0,1642806137.82899
/main_fitness,0.20000000298023224,27.0,1642806706.996402
/main_fitness,0.20000000298023224,28.0,1642807286.655827
/main_fitness,0.6000000238418579,29.0,1642807877.564959
/main_fitness,0.6000000238418579,30.0,1642808483.145676
/main_fitness,0.6000000238418579,31.0,1642809093.181666
/main_fitness,0.6000000238418579,32.0,1642809707.284676
/main_fitness,0.6000000238418579,33.0,1642810333.067158
/main_fitness,0.6000000238418579,34.0,1642810955.955274
/main_fitness,0.6000000238418579,35.0,1642811582.620555
/main_fitness,0.6000000238418579,36.0,1642812202.956954
/main_fitness,0.6000000238418579,37.0,1642812818.548722
/main_fitness,0.6000000238418579,38.0,1642813427.679421
/main_fitness,2.200000047683716,39.0,1642814039.034381
/main_fitness,2.200000047683716,40.0,1642814648.034431
/main_fitness,2.200000047683716,41.0,1642815262.473652
/main_fitness,2.200000047683716,42.0,1642815871.462635
/main_fitness,2.200000047683716,43.0,1642816478.236225
/main_fitness,2.200000047683716,44.0,1642817082.188769
/main_fitness,2.200000047683716,45.0,1642817701.317911
/main_fitness,2.200000047683716,46.0,1642818295.266939
/main_fitness,2.200000047683716,47.0,1642818895.071031
/main_fitness,2.200000047683716,48.0,1642819500.683067
/main_fitness,2.5999999046325684,49.0,1642820089.576575
/main_fitness,2.5999999046325684,50.0,1642820658.567277
/main_fitness,2.5999999046325684,51.0,1642821230.462364
/main_fitness,2.5999999046325684,52.0,1642821800.072026
/main_fitness,2.5999999046325684,53.0,1642822367.808502
/main_fitness,2.5999999046325684,54.0,1642822933.468853
/main_fitness,2.5999999046325684,55.0,1642823499.003262
/main_fitness,2.5999999046325684,56.0,1642824063.79808
/main_fitness,2.5999999046325684,57.0,1642824629.248019
/main_fitness,2.5999999046325684,58.0,1642825194.5693
/main_fitness,2.799999952316284,59.0,1642825757.686005
/main_fitness,2.799999952316284,60.0,1642826320.629466
/main_fitness,2.799999952316284,61.0,1642826878.488748
/main_fitness,2.799999952316284,62.0,1642827436.428698
/main_fitness,2.799999952316284,63.0,1642827991.598543
/main_fitness,2.799999952316284,64.0,1642828545.649626
/main_fitness,2.799999952316284,65.0,1642829105.434015
/main_fitness,2.799999952316284,66.0,1642829664.916397
/main_fitness,2.799999952316284,67.0,1642830225.859792
/main_fitness,2.799999952316284,68.0,1642830788.983037
/main_fitness,2.200000047683716,69.0,1642831353.498295
/main_fitness,2.799999952316284,70.0,1642831916.123597
/summarystat/mean,0.0,0.0,1642789521.657236
/summarystat/mean,0.00019999999494757503,1.0,1642790181.989457
/summarystat/mean,0.0,2.0,1642790837.423944
/summarystat/mean,0.0010000000474974513,3.0,1642791492.727892
/summarystat/mean,0.0017999999690800905,4.0,1642792147.162895
/summarystat/mean,0.002199999988079071,5.0,1642792801.726046
/summarystat/mean,0.00019999999494757503,6.0,1642793456.908421
/summarystat/mean,0.004399999976158142,7.0,1642794112.919542
/summarystat/mean,0.006000000052154064,8.0,1642794764.221224
