metric,value,step,walltime
/main_fitness,0.0,0.0,1642632885.188723
/main_fitness,0.0,1.0,1642632947.773026
/main_fitness,0.0,2.0,1642633007.289493
/main_fitness,0.0,3.0,1642633073.360997
/main_fitness,0.0,4.0,1642633135.685785
/main_fitness,0.0,5.0,1642633202.310517
/main_fitness,0.0,6.0,1642633261.40898
/main_fitness,0.0,7.0,1642633327.985092
/main_fitness,0.0,8.0,1642633387.136776
/main_fitness,0.0,9.0,1642633454.919317
/main_fitness,0.0,10.0,1642633514.4375
/main_fitness,0.0,11.0,1642633578.494941
/main_fitness,0.0,12.0,1642633642.085486
/main_fitness,0.0,13.0,1642633706.161593
/main_fitness,0.0,14.0,1642633768.434842
/main_fitness,0.0,15.0,1642633829.50905
/main_fitness,0.0,16.0,1642633891.822749
/main_fitness,0.0,17.0,1642633952.018278
/main_fitness,0.0,18.0,1642634011.377591
/main_fitness,0.0,19.0,1642634074.160921
/main_fitness,0.0,20.0,1642634134.9521
/main_fitness,0.0,21.0,1642634198.711238
/main_fitness,0.0,22.0,1642634259.73575
/main_fitness,0.0,23.0,1642634321.955921
/main_fitness,0.0,24.0,1642634385.115398
/main_fitness,0.0,25.0,1642634450.046051
/main_fitness,0.0,26.0,1642634508.142183
/main_fitness,0.0,27.0,1642634576.860333
/main_fitness,0.0,28.0,1642634637.004016
/main_fitness,0.0,29.0,1642634703.244413
/main_fitness,0.0,30.0,1642634763.428985
/main_fitness,0.0,31.0,1642634827.978543
/main_fitness,0.0,32.0,1642634888.416119
/main_fitness,0.0,33.0,1642634951.716573
/main_fitness,0.0,34.0,1642635011.303398
/main_fitness,0.0,35.0,1642635076.944719
/main_fitness,0.0,36.0,1642635137.026743
/main_fitness,0.0,37.0,1642635201.813597
/main_fitness,0.0,38.0,1642635263.570071
/main_fitness,0.0,39.0,1642635325.236477
/main_fitness,0.0,40.0,1642635386.335841
/main_fitness,0.0,41.0,1642635445.656174
/main_fitness,0.0,42.0,1642635508.166288
/main_fitness,0.0,43.0,1642635568.056025
/main_fitness,0.0,44.0,1642635630.102685
/main_fitness,0.0,45.0,1642635690.450644
/main_fitness,0.0,46.0,1642635753.701656
/main_fitness,0.0,47.0,1642635814.850541
/main_fitness,0.0,48.0,1642635877.290583
/main_fitness,0.0,49.0,1642635940.20811
/main_fitness,0.0,50.0,1642636000.917238
/main_fitness,0.0,51.0,1642636062.137012
/main_fitness,0.0,52.0,1642636122.628524
/main_fitness,0.0,53.0,1642636181.418126
/main_fitness,0.0,54.0,1642636250.021056
/main_fitness,0.0,55.0,1642636308.756572
/main_fitness,0.0,56.0,1642636375.131559
/main_fitness,0.0,57.0,1642636433.096838
/main_fitness,0.0,58.0,1642636499.145217
/main_fitness,0.0,59.0,1642636560.230628
/main_fitness,0.0,60.0,1642636623.902176
/main_fitness,0.0,61.0,1642636684.064072
/main_fitness,0.0,62.0,1642636745.611802
/main_fitness,0.0,63.0,1642636809.487904
/main_fitness,0.0,64.0,1642636869.699563
/main_fitness,0.0,65.0,1642636932.482783
/main_fitness,0.0,66.0,1642636990.106888
/main_fitness,0.0,67.0,1642637061.300249
/main_fitness,0.0,68.0,1642637121.277083
/main_fitness,0.0,69.0,1642637182.105455
/main_fitness,0.0,70.0,1642637240.308708
/main_fitness,0.0,71.0,1642637307.144969
/main_fitness,0.0,72.0,1642637367.892932
/main_fitness,0.0,73.0,1642637433.803734
/main_fitness,0.0,74.0,1642637496.03964
/main_fitness,0.0,75.0,1642637557.020928
/main_fitness,0.0,76.0,1642637616.142072
/main_fitness,0.0,77.0,1642637681.26961
/main_fitness,0.0,78.0,1642637739.831722
/main_fitness,0.0,79.0,1642637807.717274
/main_fitness,0.0,80.0,1642637866.699327
/main_fitness,0.0,81.0,1642637932.071582
/main_fitness,0.0,82.0,1642637990.838293
/main_fitness,0.0,83.0,1642638051.120331
/main_fitness,0.0,84.0,1642638112.269227
/main_fitness,0.0,85.0,1642638181.285168
/main_fitness,0.0,86.0,1642638241.061333
/main_fitness,0.0,87.0,1642638308.57554
/main_fitness,0.0,88.0,1642638369.078141
/main_fitness,0.0,89.0,1642638431.326728
/main_fitness,0.0,90.0,1642638497.92908
/main_fitness,0.0,91.0,1642638555.574894
/main_fitness,0.0,92.0,1642638622.549346
/main_fitness,0.0,93.0,1642638680.580935
/main_fitness,0.0,94.0,1642638751.445535
