metric,value,step,walltime
/main_fitness,0.0,0.0,1642065825.77164
/main_fitness,0.0,1.0,1642065839.689019
/main_fitness,0.0,2.0,1642065855.17739
/main_fitness,0.0,3.0,1642065870.000149
/main_fitness,0.0,4.0,1642065884.56952
/main_fitness,0.0,5.0,1642065900.282298
/main_fitness,0.0,6.0,1642065915.109864
/main_fitness,0.0,7.0,1642065930.189268
/summarystat/1/mean,0.0,0.0,1642065826.302482
/summarystat/1/mean,0.0006000000284984708,1.0,1642065839.689424
/summarystat/1/mean,-0.00019999999494757503,2.0,1642065855.177894
/summarystat/1/mean,0.0,3.0,1642065870.000794
/summarystat/1/mean,-0.0007999999797903001,4.0,1642065884.569932
/summarystat/1/mean,-0.00019999999494757503,5.0,1642065900.282654
/summarystat/1/mean,0.0007999999797903001,6.0,1642065915.110302
/summarystat/1/mean,0.0,7.0,1642065930.189656
/summarystat/1/min,0.0,0.0,1642065826.302482
/summarystat/1/min,-0.20000000298023224,1.0,1642065839.689424
/summarystat/1/min,-0.20000000298023224,2.0,1642065855.177894
/summarystat/1/min,-0.20000000298023224,3.0,1642065870.000794
/summarystat/1/min,-0.20000000298023224,4.0,1642065884.569932
/summarystat/1/min,-0.20000000298023224,5.0,1642065900.282654
/summarystat/1/min,-0.20000000298023224,6.0,1642065915.110302
/summarystat/1/min,-0.20000000298023224,7.0,1642065930.189656
/summarystat/1/q25,0.0,0.0,1642065826.302482
/summarystat/1/q25,0.0,1.0,1642065839.689424
/summarystat/1/q25,0.0,2.0,1642065855.177894
/summarystat/1/q25,0.0,3.0,1642065870.000794
/summarystat/1/q25,0.0,4.0,1642065884.569932
/summarystat/1/q25,0.0,5.0,1642065900.282654
/summarystat/1/q25,0.0,6.0,1642065915.110302
/summarystat/1/q25,0.0,7.0,1642065930.189656
/summarystat/1/median,0.0,0.0,1642065826.302482
/summarystat/1/median,0.0,1.0,1642065839.689424
/summarystat/1/median,0.0,2.0,1642065855.177894
/summarystat/1/median,0.0,3.0,1642065870.000794
/summarystat/1/median,0.0,4.0,1642065884.569932
/summarystat/1/median,0.0,5.0,1642065900.282654
/summarystat/1/median,0.0,6.0,1642065915.110302
/summarystat/1/median,0.0,7.0,1642065930.189656
/summarystat/1/q75,0.0,0.0,1642065826.302482
/summarystat/1/q75,0.0,1.0,1642065839.689424
/summarystat/1/q75,0.0,2.0,1642065855.177894
/summarystat/1/q75,0.0,3.0,1642065870.000794
/summarystat/1/q75,0.0,4.0,1642065884.569932
/summarystat/1/q75,0.0,5.0,1642065900.282654
/summarystat/1/q75,0.0,6.0,1642065915.110302
/summarystat/1/q75,0.0,7.0,1642065930.189656
/summarystat/1/max,0.0,0.0,1642065826.302482
/summarystat/1/max,0.20000000298023224,1.0,1642065839.689424
/summarystat/1/max,0.20000000298023224,2.0,1642065855.177894
/summarystat/1/max,0.20000000298023224,3.0,1642065870.000794
/summarystat/1/max,0.20000000298023224,4.0,1642065884.569932
/summarystat/1/max,0.20000000298023224,5.0,1642065900.282654
/summarystat/1/max,0.20000000298023224,6.0,1642065915.110302
/summarystat/1/max,0.20000000298023224,7.0,1642065930.189656
/summarystat/1/nobs,1000.0,0.0,1642065826.302482
/summarystat/1/nobs,1000.0,1.0,1642065839.689424
/summarystat/1/nobs,1000.0,2.0,1642065855.177894
/summarystat/1/nobs,1000.0,3.0,1642065870.000794
/summarystat/1/nobs,1000.0,4.0,1642065884.569932
/summarystat/1/nobs,1000.0,5.0,1642065900.282654
/summarystat/1/nobs,1000.0,6.0,1642065915.110302
/summarystat/1/nobs,1000.0,7.0,1642065930.189656
/summarystat/1/nmiss,0.0,0.0,1642065826.302482
/summarystat/1/nmiss,0.0,1.0,1642065839.689424
/summarystat/1/nmiss,0.0,2.0,1642065855.177894
/summarystat/1/nmiss,0.0,3.0,1642065870.000794
/summarystat/1/nmiss,0.0,4.0,1642065884.569932
/summarystat/1/nmiss,0.0,5.0,1642065900.282654
/summarystat/1/nmiss,0.0,6.0,1642065915.110302
/summarystat/1/nmiss,0.0,7.0,1642065930.189656
/summarystat/2/mean,-0.6764206290245056,0.0,1642065826.302482
/summarystat/2/mean,-0.23126478493213654,1.0,1642065839.689424
/summarystat/2/mean,-0.34575459361076355,2.0,1642065855.177894
/summarystat/2/mean,-0.06953798234462738,3.0,1642065870.000794
/summarystat/2/mean,0.1423741579055786,4.0,1642065884.569932
/summarystat/2/mean,0.36045190691947937,5.0,1642065900.282654
/summarystat/2/mean,0.6046842932701111,6.0,1642065915.110302
/summarystat/2/mean,0.8157376646995544,7.0,1642065930.189656
/summarystat/2/min,-1.738202452659607,0.0,1642065826.302482
/summarystat/2/min,-5.1382222175598145,1.0,1642065839.689424
/summarystat/2/min,-6.789926052093506,2.0,1642065855.177894
/summarystat/2/min,-2.9706475734710693,3.0,1642065870.000794
/summarystat/2/min,-4.416590213775635,4.0,1642065884.569932
/summarystat/2/min,-1.9107519388198853,5.0,1642065900.282654
/summarystat/2/min,-1.519368290901184,6.0,1642065915.110302
/summarystat/2/min,-1.1696109771728516,7.0,1642065930.189656
/summarystat/2/q25,-0.9281629323959351,0.0,1642065826.302482
/summarystat/2/q25,-0.6088317036628723,1.0,1642065839.689424
/summarystat/2/q25,-0.711033821105957,2.0,1642065855.177894
/summarystat/2/q25,-0.39326339960098267,3.0,1642065870.000794
/summarystat/2/q25,-0.13317565619945526,4.0,1642065884.569932
/summarystat/2/q25,0.04219760000705719,5.0,1642065900.282654
/summarystat/2/q25,0.2549532353878021,6.0,1642065915.110302
/summarystat/2/q25,0.4520731568336487,7.0,1642065930.189656
/summarystat/2/median,-0.6737638711929321,0.0,1642065826.302482
/summarystat/2/median,-0.2027309536933899,1.0,1642065839.689424
/summarystat/2/median,-0.29602888226509094,2.0,1642065855.177894
/summarystat/2/median,-0.02578209526836872,3.0,1642065870.000794
/summarystat/2/median,0.16597317159175873,4.0,1642065884.569932
/summarystat/2/median,0.3688563108444214,5.0,1642065900.282654
/summarystat/2/median,0.5972665548324585,6.0,1642065915.110302
/summarystat/2/median,0.7919974327087402,7.0,1642065930.189656
/summarystat/2/q75,-0.43859317898750305,0.0,1642065826.302482
/summarystat/2/q75,0.2065216600894928,1.0,1642065839.689424
/summarystat/2/q75,0.10391435772180557,2.0,1642065855.177894
/summarystat/2/q75,0.3053589463233948,3.0,1642065870.000794
/summarystat/2/q75,0.5050435066223145,4.0,1642065884.569932
/summarystat/2/q75,0.6712049841880798,5.0,1642065900.282654
/summarystat/2/q75,0.9362438917160034,6.0,1642065915.110302
/summarystat/2/q75,1.1703627109527588,7.0,1642065930.189656
/summarystat/2/max,0.7407031655311584,0.0,1642065826.302482
/summarystat/2/max,5.434176921844482,1.0,1642065839.689424
/summarystat/2/max,5.85194730758667,2.0,1642065855.177894
/summarystat/2/max,1.5968973636627197,3.0,1642065870.000794
/summarystat/2/max,2.005523443222046,4.0,1642065884.569932
/summarystat/2/max,2.7517833709716797,5.0,1642065900.282654
/summarystat/2/max,2.8390181064605713,6.0,1642065915.110302
/summarystat/2/max,3.890580892562866,7.0,1642065930.189656
/summarystat/2/nobs,1000.0,0.0,1642065826.302482
/summarystat/2/nobs,1000.0,1.0,1642065839.689424
/summarystat/2/nobs,1000.0,2.0,1642065855.177894
/summarystat/2/nobs,1000.0,3.0,1642065870.000794
/summarystat/2/nobs,1000.0,4.0,1642065884.569932
/summarystat/2/nobs,1000.0,5.0,1642065900.282654
/summarystat/2/nobs,1000.0,6.0,1642065915.110302
/summarystat/2/nobs,1000.0,7.0,1642065930.189656
/summarystat/2/nmiss,0.0,0.0,1642065826.302482
/summarystat/2/nmiss,0.0,1.0,1642065839.689424
/summarystat/2/nmiss,0.0,2.0,1642065855.177894
/summarystat/2/nmiss,0.0,3.0,1642065870.000794
/summarystat/2/nmiss,0.0,4.0,1642065884.569932
/summarystat/2/nmiss,0.0,5.0,1642065900.282654
/summarystat/2/nmiss,0.0,6.0,1642065915.110302
/summarystat/2/nmiss,0.0,7.0,1642065930.189656
/gen_time_s,23.715587615966797,0.0,1642065826.351106
/gen_time_s,13.285245895385742,1.0,1642065839.689529
/gen_time_s,15.487127304077148,2.0,1642065855.178092
/gen_time_s,14.821117401123047,3.0,1642065870.000871
/gen_time_s,14.568115234375,4.0,1642065884.570021
/gen_time_s,15.711750984191895,5.0,1642065900.282727
/gen_time_s,14.826622009277344,6.0,1642065915.110392
/gen_time_s,15.078339576721191,7.0,1642065930.189735
/total_steps,2498671.0,1.0,1642065826.403202
/total_steps,4997786.0,2.0,1642065839.689576
/total_steps,7497786.0,3.0,1642065855.178186
/total_steps,9997786.0,4.0,1642065870.000905
/total_steps,12497626.0,5.0,1642065884.570057
/total_steps,14997520.0,6.0,1642065900.282762
/total_steps,17497520.0,7.0,1642065915.110429
/total_steps,19997520.0,8.0,1642065930.189769
