metric,value,step,walltime
/main_fitness,0.0,0.0,1642064735.438698
/main_fitness,0.0,1.0,1642064742.043062
/main_fitness,0.0,2.0,1642064753.331647
/main_fitness,0.0,3.0,1642064765.371542
/main_fitness,0.0,4.0,1642064778.775819
/main_fitness,0.0,5.0,1642064790.376392
/main_fitness,0.0,6.0,1642064801.808128
/main_fitness,0.0,7.0,1642064813.792267
/main_fitness,0.0,8.0,1642064824.615221
/main_fitness,0.0,9.0,1642064836.913306
/main_fitness,0.0,10.0,1642064848.532027
/main_fitness,0.0,11.0,1642064859.810004
/main_fitness,0.0,12.0,1642064870.389988
/main_fitness,0.0,13.0,1642064881.023636
/main_fitness,0.0,14.0,1642064892.726963
/main_fitness,0.0,15.0,1642064904.120733
/main_fitness,0.0,16.0,1642064914.65663
/main_fitness,0.0,17.0,1642064929.181432
/main_fitness,0.0,18.0,1642064941.947597
/main_fitness,0.0,19.0,1642064949.786549
/main_fitness,0.0,20.0,1642064961.801074
/main_fitness,0.0,21.0,1642064974.075462
/main_fitness,0.0,22.0,1642064984.671743
/main_fitness,0.0,23.0,1642064996.36755
/main_fitness,0.0,24.0,1642065009.154025
/main_fitness,0.0,25.0,1642065019.788106
/main_fitness,0.0,26.0,1642065031.077731
/main_fitness,0.0,27.0,1642065042.67108
/main_fitness,0.0,28.0,1642065054.949021
/main_fitness,0.0,29.0,1642065065.738168
/main_fitness,0.0,30.0,1642065075.178788
/main_fitness,0.0,31.0,1642065087.537495
/main_fitness,0.0,32.0,1642065098.750494
/main_fitness,0.0,33.0,1642065111.57909
/main_fitness,0.0,34.0,1642065123.670296
/main_fitness,0.0,35.0,1642065136.731605
/main_fitness,0.0,36.0,1642065148.439587
/main_fitness,0.0,37.0,1642065159.071412
/main_fitness,0.0,38.0,1642065171.65606
/main_fitness,0.0,39.0,1642065184.18165
/main_fitness,0.0,40.0,1642065193.015408
/main_fitness,0.0,41.0,1642065205.268493
/main_fitness,0.0,42.0,1642065217.619885
/summarystat/1/mean,-9537.8935546875,0.0,1642064735.799641
/summarystat/1/mean,-9604.974609375,1.0,1642064742.04344
/summarystat/1/mean,-9654.7919921875,2.0,1642064753.332075
/summarystat/1/mean,-9657.6650390625,3.0,1642064765.372198
/summarystat/1/mean,-9676.7138671875,4.0,1642064778.77626
/summarystat/1/mean,-9661.7060546875,5.0,1642064790.376833
/summarystat/1/mean,-9655.533203125,6.0,1642064801.808593
/summarystat/1/mean,-9651.2900390625,7.0,1642064813.792758
/summarystat/1/mean,-9636.7236328125,8.0,1642064824.615657
/summarystat/1/mean,-9613.1171875,9.0,1642064836.913687
/summarystat/1/mean,-9613.662109375,10.0,1642064848.532273
/summarystat/1/mean,-9581.0126953125,11.0,1642064859.810254
/summarystat/1/mean,-9587.619140625,12.0,1642064870.390459
/summarystat/1/mean,-9587.4619140625,13.0,1642064881.023876
/summarystat/1/mean,-9597.501953125,14.0,1642064892.727479
/summarystat/1/mean,-9629.2080078125,15.0,1642064904.121153
/summarystat/1/mean,-9606.89453125,16.0,1642064914.656992
/summarystat/1/mean,-9641.595703125,17.0,1642064929.18187
/summarystat/1/mean,-9678.6083984375,18.0,1642064941.947955
/summarystat/1/mean,-9689.103515625,19.0,1642064949.78689
/summarystat/1/mean,-9703.2802734375,20.0,1642064961.801584
/summarystat/1/mean,-9692.8330078125,21.0,1642064974.075819
/summarystat/1/mean,-9729.8291015625,22.0,1642064984.672195
/summarystat/1/mean,-9734.3837890625,23.0,1642064996.367944
/summarystat/1/mean,-9745.0595703125,24.0,1642065009.154398
/summarystat/1/mean,-9721.478515625,25.0,1642065019.788304
/summarystat/1/mean,-9716.4716796875,26.0,1642065031.077968
/summarystat/1/mean,-9646.3857421875,27.0,1642065042.671431
/summarystat/1/mean,-9644.1796875,28.0,1642065054.94959
/summarystat/1/mean,-9645.8525390625,29.0,1642065065.738486
/summarystat/1/mean,-9639.2265625,30.0,1642065075.179222
/summarystat/1/mean,-9646.2529296875,31.0,1642065087.537902
/summarystat/1/mean,-9646.962890625,32.0,1642065098.750868
/summarystat/1/mean,-9633.470703125,33.0,1642065111.579257
/summarystat/1/mean,-9616.3173828125,34.0,1642065123.67064
/summarystat/1/mean,-9618.9775390625,35.0,1642065136.732011
/summarystat/1/mean,-9608.619140625,36.0,1642065148.439789
/summarystat/1/mean,-9613.5029296875,37.0,1642065159.071644
/summarystat/1/mean,-9589.1376953125,38.0,1642065171.656477
/summarystat/1/mean,-9574.8359375,39.0,1642065184.182411
/summarystat/1/mean,-9608.0,40.0,1642065193.015803
/summarystat/1/mean,-9596.8955078125,41.0,1642065205.268892
/summarystat/1/mean,-9577.666015625,42.0,1642065217.620271
/summarystat/1/min,-10293.0380859375,0.0,1642064735.799641
/summarystat/1/min,-10504.333984375,1.0,1642064742.04344
/summarystat/1/min,-10240.822265625,2.0,1642064753.332075
/summarystat/1/min,-10184.26953125,3.0,1642064765.372198
/summarystat/1/min,-10320.353515625,4.0,1642064778.77626
/summarystat/1/min,-10134.6494140625,5.0,1642064790.376833
/summarystat/1/min,-10109.2939453125,6.0,1642064801.808593
/summarystat/1/min,-10192.787109375,7.0,1642064813.792758
/summarystat/1/min,-10256.91015625,8.0,1642064824.615657
/summarystat/1/min,-10300.2900390625,9.0,1642064836.913687
/summarystat/1/min,-10408.8291015625,10.0,1642064848.532273
/summarystat/1/min,-10241.82421875,11.0,1642064859.810254
/summarystat/1/min,-10298.28125,12.0,1642064870.390459
/summarystat/1/min,-10322.8779296875,13.0,1642064881.023876
/summarystat/1/min,-10397.3212890625,14.0,1642064892.727479
/summarystat/1/min,-10260.0810546875,15.0,1642064904.121153
/summarystat/1/min,-10236.9833984375,16.0,1642064914.656992
/summarystat/1/min,-10279.6083984375,17.0,1642064929.18187
/summarystat/1/min,-10376.7490234375,18.0,1642064941.947955
/summarystat/1/min,-10337.5634765625,19.0,1642064949.78689
/summarystat/1/min,-10290.78125,20.0,1642064961.801584
/summarystat/1/min,-10467.42578125,21.0,1642064974.075819
/summarystat/1/min,-10348.9638671875,22.0,1642064984.672195
/summarystat/1/min,-10377.6474609375,23.0,1642064996.367944
/summarystat/1/min,-10346.529296875,24.0,1642065009.154398
/summarystat/1/min,-10397.404296875,25.0,1642065019.788304
/summarystat/1/min,-10294.4521484375,26.0,1642065031.077968
/summarystat/1/min,-10324.4228515625,27.0,1642065042.671431
/summarystat/1/min,-10391.9541015625,28.0,1642065054.94959
/summarystat/1/min,-10289.240234375,29.0,1642065065.738486
/summarystat/1/min,-10296.1494140625,30.0,1642065075.179222
/summarystat/1/min,-10112.5791015625,31.0,1642065087.537902
/summarystat/1/min,-10194.27734375,32.0,1642065098.750868
/summarystat/1/min,-10197.65625,33.0,1642065111.579257
