metric,value,step,walltime
/main_fitness,0.0,0.0,1642277197.61009
/main_fitness,0.0,1.0,1642277970.551529
/main_fitness,0.0,2.0,1642278731.779458
/main_fitness,0.0,3.0,1642279497.315948
/main_fitness,0.0,4.0,1642280265.151894
/main_fitness,0.0,5.0,1642281037.64895
/main_fitness,0.0,6.0,1642281821.160238
/main_fitness,0.0,7.0,1642282622.604447
/main_fitness,0.0,8.0,1642283442.896336
/main_fitness,0.0,9.0,1642284283.986705
/main_fitness,0.0,10.0,1642285139.530293
/main_fitness,0.0,11.0,1642286003.436417
/main_fitness,0.0,12.0,1642286886.026715
/main_fitness,0.0,13.0,1642287776.708866
/main_fitness,0.0,14.0,1642288680.342673
/main_fitness,0.0,15.0,1642289599.483877
/main_fitness,0.0,16.0,1642290524.875197
/main_fitness,0.0,17.0,1642291453.57483
/main_fitness,0.0,18.0,1642292382.779481
/main_fitness,0.0,19.0,1642293318.602324
/main_fitness,0.0,20.0,1642294247.915111
/main_fitness,0.0,21.0,1642295175.86543
/main_fitness,0.0,22.0,1642296118.465198
/main_fitness,0.0,23.0,1642297046.726442
/main_fitness,0.0,24.0,1642297969.514195
/main_fitness,0.0,25.0,1642298898.95549
/main_fitness,0.0,26.0,1642299763.74509
/main_fitness,0.0,27.0,1642300629.165202
/main_fitness,0.0,28.0,1642301492.23742
/main_fitness,0.0,29.0,1642302354.13466
/main_fitness,0.0,30.0,1642303208.204952
/main_fitness,0.0,31.0,1642304054.294437
/main_fitness,0.0,32.0,1642304891.628259
/main_fitness,0.0,33.0,1642305721.097912
/main_fitness,0.0,34.0,1642306542.376495
/main_fitness,0.0,35.0,1642307357.737462
/main_fitness,0.0,36.0,1642308172.618002
/main_fitness,0.0,37.0,1642308987.349957
/main_fitness,0.0,38.0,1642309800.892513
/main_fitness,0.0,39.0,1642310617.194029
/main_fitness,0.0,40.0,1642311430.667287
/main_fitness,0.0,41.0,1642312241.960827
/main_fitness,0.0,42.0,1642313051.25524
/main_fitness,0.0,43.0,1642313860.971359
/main_fitness,0.0,44.0,1642314669.263756
/main_fitness,0.0,45.0,1642315478.202699
/main_fitness,0.0,46.0,1642316288.754362
/main_fitness,0.0,47.0,1642317104.777336
/main_fitness,0.0,48.0,1642317925.1801
/main_fitness,0.0,49.0,1642318755.06909
/main_fitness,0.0,50.0,1642319582.883616
/summarystat/1/mean,-13435.462890625,0.0,1642277198.076122
/summarystat/1/mean,-13419.865234375,1.0,1642277970.569234
/summarystat/1/mean,-13418.1708984375,2.0,1642278731.779931
/summarystat/1/mean,-13448.6259765625,3.0,1642279497.316493
/summarystat/1/mean,-13470.6044921875,4.0,1642280265.152522
/summarystat/1/mean,-13504.0634765625,5.0,1642281037.649336
/summarystat/1/mean,-13636.7607421875,6.0,1642281821.180688
/summarystat/1/mean,-13834.693359375,7.0,1642282622.60482
/summarystat/1/mean,-14014.5556640625,8.0,1642283442.896761
/summarystat/1/mean,-14176.0830078125,9.0,1642284283.987044
/summarystat/1/mean,-14308.3671875,10.0,1642285139.530709
/summarystat/1/mean,-14352.552734375,11.0,1642286003.472409
/summarystat/1/mean,-14453.064453125,12.0,1642286886.027178
/summarystat/1/mean,-14516.228515625,13.0,1642287776.757085
/summarystat/1/mean,-14638.455078125,14.0,1642288680.343105
/summarystat/1/mean,-14780.6376953125,15.0,1642289599.484442
/summarystat/1/mean,-14832.26171875,16.0,1642290524.875615
/summarystat/1/mean,-14863.8759765625,17.0,1642291453.592867
/summarystat/1/mean,-14868.505859375,18.0,1642292382.780006
/summarystat/1/mean,-14904.5810546875,19.0,1642293318.620713
/summarystat/1/mean,-14897.65234375,20.0,1642294247.915632
/summarystat/1/mean,-14911.2314453125,21.0,1642295175.865814
/summarystat/1/mean,-14913.0068359375,22.0,1642296118.666809
/summarystat/1/mean,-14927.4482421875,23.0,1642297046.726895
/summarystat/1/mean,-14929.51953125,24.0,1642297969.514716
/summarystat/1/mean,-14923.2802734375,25.0,1642298898.955893
/summarystat/1/mean,-14953.1279296875,26.0,1642299763.79666
/summarystat/1/mean,-14976.7890625,27.0,1642300629.165699
/summarystat/1/mean,-14979.9248046875,28.0,1642301492.237819
/summarystat/1/mean,-14965.5771484375,29.0,1642302354.13497
/summarystat/1/mean,-14901.638671875,30.0,1642303208.205364
/summarystat/1/mean,-14805.9443359375,31.0,1642304054.294855
/summarystat/1/mean,-14666.2265625,32.0,1642304891.628678
/summarystat/1/mean,-14485.125,33.0,1642305721.098348
/summarystat/1/mean,-14289.3896484375,34.0,1642306542.376899
/summarystat/1/mean,-14131.5634765625,35.0,1642307357.737892
/summarystat/1/mean,-14050.90625,36.0,1642308172.618408
/summarystat/1/mean,-14018.9794921875,37.0,1642308987.350441
/summarystat/1/mean,-14047.8447265625,38.0,1642309800.89292
/summarystat/1/mean,-14085.681640625,39.0,1642310617.194336
/summarystat/1/mean,-14079.494140625,40.0,1642311430.667685
/summarystat/1/mean,-14045.107421875,41.0,1642312241.961238
/summarystat/1/mean,-13980.111328125,42.0,1642313051.255664
/summarystat/1/mean,-13860.2890625,43.0,1642313860.971763
/summarystat/1/mean,-13773.0673828125,44.0,1642314669.264241
/summarystat/1/mean,-13682.9453125,45.0,1642315478.203098
/summarystat/1/mean,-13572.0224609375,46.0,1642316288.754787
/summarystat/1/mean,-13466.0556640625,47.0,1642317104.777838
/summarystat/1/mean,-13348.697265625,48.0,1642317925.18059
/summarystat/1/mean,-13193.318359375,49.0,1642318755.069384
/summarystat/1/mean,-13144.0107421875,50.0,1642319582.8841
/summarystat/1/min,-13733.576171875,0.0,1642277198.076122
/summarystat/1/min,-13876.869140625,1.0,1642277970.569234
/summarystat/1/min,-13813.626953125,2.0,1642278731.779931
/summarystat/1/min,-14168.2041015625,3.0,1642279497.316493
/summarystat/1/min,-14056.8203125,4.0,1642280265.152522
/summarystat/1/min,-14100.9921875,5.0,1642281037.649336
/summarystat/1/min,-14698.85546875,6.0,1642281821.180688
/summarystat/1/min,-14708.81640625,7.0,1642282622.60482
/summarystat/1/min,-14745.755859375,8.0,1642283442.896761
/summarystat/1/min,-14821.8212890625,9.0,1642284283.987044
/summarystat/1/min,-14860.478515625,10.0,1642285139.530709
/summarystat/1/min,-14985.333984375,11.0,1642286003.472409
/summarystat/1/min,-14958.623046875,12.0,1642286886.027178
/summarystat/1/min,-15056.828125,13.0,1642287776.757085
/summarystat/1/min,-15098.46484375,14.0,1642288680.343105
/summarystat/1/min,-15183.296875,15.0,1642289599.484442
/summarystat/1/min,-15238.357421875,16.0,1642290524.875615
/summarystat/1/min,-15201.2578125,17.0,1642291453.592867
/summarystat/1/min,-15250.1318359375,18.0,1642292382.780006
/summarystat/1/min,-15281.1337890625,19.0,1642293318.620713
/summarystat/1/min,-15247.228515625,20.0,1642294247.915632
/summarystat/1/min,-15293.79296875,21.0,1642295175.865814
/summarystat/1/min,-15291.6171875,22.0,1642296118.666809
/summarystat/1/min,-15266.26171875,23.0,1642297046.726895
/summarystat/1/min,-15291.8095703125,24.0,1642297969.514716
/summarystat/1/min,-15319.4716796875,25.0,1642298898.955893
/summarystat/1/min,-15320.7001953125,26.0,1642299763.79666
/summarystat/1/min,-15354.7919921875,27.0,1642300629.165699
/summarystat/1/min,-15381.7490234375,28.0,1642301492.237819
/summarystat/1/min,-15342.388671875,29.0,1642302354.13497
/summarystat/1/min,-15300.0732421875,30.0,1642303208.205364
/summarystat/1/min,-15334.951171875,31.0,1642304054.294855
/summarystat/1/min,-15282.77734375,32.0,1642304891.628678
/summarystat/1/min,-15271.048828125,33.0,1642305721.098348
/summarystat/1/min,-15183.88671875,34.0,1642306542.376899
/summarystat/1/min,-15070.857421875,35.0,1642307357.737892
/summarystat/1/min,-15193.6533203125,36.0,1642308172.618408
/summarystat/1/min,-14973.529296875,37.0,1642308987.350441
/summarystat/1/min,-15153.3828125,38.0,1642309800.89292
/summarystat/1/min,-15131.1748046875,39.0,1642310617.194336
/summarystat/1/min,-15231.5556640625,40.0,1642311430.667685
/summarystat/1/min,-15156.2421875,41.0,1642312241.961238
/summarystat/1/min,-14930.630859375,42.0,1642313051.255664
/summarystat/1/min,-14801.421875,43.0,1642313860.971763
/summarystat/1/min,-14837.68359375,44.0,1642314669.264241
/summarystat/1/min,-14696.857421875,45.0,1642315478.203098
/summarystat/1/min,-14690.9169921875,46.0,1642316288.754787
/summarystat/1/min,-14842.4912109375,47.0,1642317104.777838
/summarystat/1/min,-14463.6162109375,48.0,1642317925.18059
/summarystat/1/min,-14588.71484375,49.0,1642318755.069384
/summarystat/1/min,-14687.6845703125,50.0,1642319582.8841
/summarystat/1/q25,-13478.8505859375,0.0,1642277198.076122
/summarystat/1/q25,-13467.6953125,1.0,1642277970.569234
/summarystat/1/q25,-13468.861328125,2.0,1642278731.779931
/summarystat/1/q25,-13505.43359375,3.0,1642279497.316493
/summarystat/1/q25,-13543.1044921875,4.0,1642280265.152522
/summarystat/1/q25,-13570.607421875,5.0,1642281037.649336
/summarystat/1/q25,-13762.8828125,6.0,1642281821.180688
/summarystat/1/q25,-14035.6787109375,7.0,1642282622.60482
/summarystat/1/q25,-14244.404296875,8.0,1642283442.896761
/summarystat/1/q25,-14392.7451171875,9.0,1642284283.987044
/summarystat/1/q25,-14506.6298828125,10.0,1642285139.530709
/summarystat/1/q25,-14565.8837890625,11.0,1642286003.472409
/summarystat/1/q25,-14656.654296875,12.0,1642286886.027178
/summarystat/1/q25,-14739.1435546875,13.0,1642287776.757085
/summarystat/1/q25,-14820.0751953125,14.0,1642288680.343105
/summarystat/1/q25,-14917.2724609375,15.0,1642289599.484442
/summarystat/1/q25,-14969.513671875,16.0,1642290524.875615
/summarystat/1/q25,-15015.00390625,17.0,1642291453.592867
/summarystat/1/q25,-15024.994140625,18.0,1642292382.780006
/summarystat/1/q25,-15040.599609375,19.0,1642293318.620713
/summarystat/1/q25,-15043.546875,20.0,1642294247.915632
/summarystat/1/q25,-15057.353515625,21.0,1642295175.865814
/summarystat/1/q25,-15064.0654296875,22.0,1642296118.666809
/summarystat/1/q25,-15070.62109375,23.0,1642297046.726895
/summarystat/1/q25,-15066.455078125,24.0,1642297969.514716
/summarystat/1/q25,-15079.2822265625,25.0,1642298898.955893
/summarystat/1/q25,-15102.529296875,26.0,1642299763.79666
/summarystat/1/q25,-15117.12109375,27.0,1642300629.165699
/summarystat/1/q25,-15117.6513671875,28.0,1642301492.237819
/summarystat/1/q25,-15105.3564453125,29.0,1642302354.13497
/summarystat/1/q25,-15082.560546875,30.0,1642303208.205364
/summarystat/1/q25,-15014.95703125,31.0,1642304054.294855
/summarystat/1/q25,-14897.6123046875,32.0,1642304891.628678
/summarystat/1/q25,-14757.734375,33.0,1642305721.098348
/summarystat/1/q25,-14554.0771484375,34.0,1642306542.376899
/summarystat/1/q25,-14400.4189453125,35.0,1642307357.737892
/summarystat/1/q25,-14321.568359375,36.0,1642308172.618408
/summarystat/1/q25,-14286.9111328125,37.0,1642308987.350441
/summarystat/1/q25,-14321.2001953125,38.0,1642309800.89292
/summarystat/1/q25,-14359.15234375,39.0,1642310617.194336
/summarystat/1/q25,-14330.384765625,40.0,1642311430.667685
/summarystat/1/q25,-14281.583984375,41.0,1642312241.961238
/summarystat/1/q25,-14200.0390625,42.0,1642313051.255664
/summarystat/1/q25,-14091.1142578125,43.0,1642313860.971763
/summarystat/1/q25,-13992.5947265625,44.0,1642314669.264241
/summarystat/1/q25,-13896.5048828125,45.0,1642315478.203098
/summarystat/1/q25,-13765.1953125,46.0,1642316288.754787
/summarystat/1/q25,-13678.2470703125,47.0,1642317104.777838
/summarystat/1/q25,-13565.3349609375,48.0,1642317925.18059
/summarystat/1/q25,-13431.7822265625,49.0,1642318755.069384
/summarystat/1/q25,-13392.49609375,50.0,1642319582.8841
/summarystat/1/median,-13431.1435546875,0.0,1642277198.076122
/summarystat/1/median,-13418.072265625,1.0,1642277970.569234
/summarystat/1/median,-13415.1826171875,2.0,1642278731.779931
/summarystat/1/median,-13449.32421875,3.0,1642279497.316493
/summarystat/1/median,-13466.2802734375,4.0,1642280265.152522
/summarystat/1/median,-13491.20703125,5.0,1642281037.649336
/summarystat/1/median,-13589.818359375,6.0,1642281821.180688
/summarystat/1/median,-13831.9326171875,7.0,1642282622.60482
/summarystat/1/median,-14035.4599609375,8.0,1642283442.896761
/summarystat/1/median,-14210.75,9.0,1642284283.987044
/summarystat/1/median,-14346.5517578125,10.0,1642285139.530709
/summarystat/1/median,-14404.1513671875,11.0,1642286003.472409
/summarystat/1/median,-14529.6064453125,12.0,1642286886.027178
/summarystat/1/median,-14611.2978515625,13.0,1642287776.757085
/summarystat/1/median,-14711.072265625,14.0,1642288680.343105
/summarystat/1/median,-14830.9619140625,15.0,1642289599.484442
/summarystat/1/median,-14898.8427734375,16.0,1642290524.875615
/summarystat/1/median,-14919.998046875,17.0,1642291453.592867
/summarystat/1/median,-14916.91796875,18.0,1642292382.780006
/summarystat/1/median,-14955.7939453125,19.0,1642293318.620713
/summarystat/1/median,-14944.5068359375,20.0,1642294247.915632
/summarystat/1/median,-14955.3466796875,21.0,1642295175.865814
/summarystat/1/median,-14961.638671875,22.0,1642296118.666809
/summarystat/1/median,-14969.2802734375,23.0,1642297046.726895
/summarystat/1/median,-14972.474609375,24.0,1642297969.514716
/summarystat/1/median,-14979.9765625,25.0,1642298898.955893
/summarystat/1/median,-14993.0712890625,26.0,1642299763.79666
/summarystat/1/median,-15016.3251953125,27.0,1642300629.165699
/summarystat/1/median,-15016.712890625,28.0,1642301492.237819
/summarystat/1/median,-15013.3427734375,29.0,1642302354.13497
/summarystat/1/median,-14955.93359375,30.0,1642303208.205364
/summarystat/1/median,-14866.107421875,31.0,1642304054.294855
/summarystat/1/median,-14706.0546875,32.0,1642304891.628678
/summarystat/1/median,-14520.32421875,33.0,1642305721.098348
/summarystat/1/median,-14302.4833984375,34.0,1642306542.376899
/summarystat/1/median,-14127.5556640625,35.0,1642307357.737892
/summarystat/1/median,-14050.453125,36.0,1642308172.618408
/summarystat/1/median,-14019.3447265625,37.0,1642308987.350441
/summarystat/1/median,-14053.7861328125,38.0,1642309800.89292
/summarystat/1/median,-14100.421875,39.0,1642310617.194336
/summarystat/1/median,-14096.3603515625,40.0,1642311430.667685
/summarystat/1/median,-14038.0361328125,41.0,1642312241.961238
/summarystat/1/median,-13973.0791015625,42.0,1642313051.255664
/summarystat/1/median,-13855.119140625,43.0,1642313860.971763
/summarystat/1/median,-13757.451171875,44.0,1642314669.264241
/summarystat/1/median,-13680.240234375,45.0,1642315478.203098
/summarystat/1/median,-13557.9423828125,46.0,1642316288.754787
/summarystat/1/median,-13473.384765625,47.0,1642317104.777838
/summarystat/1/median,-13363.34765625,48.0,1642317925.18059
/summarystat/1/median,-13206.046875,49.0,1642318755.069384
/summarystat/1/median,-13131.9228515625,50.0,1642319582.8841
/summarystat/1/q75,-13389.20703125,0.0,1642277198.076122
/summarystat/1/q75,-13366.58984375,1.0,1642277970.569234
/summarystat/1/q75,-13363.02734375,2.0,1642278731.779931
/summarystat/1/q75,-13396.3173828125,3.0,1642279497.316493
/summarystat/1/q75,-13393.9638671875,4.0,1642280265.152522
/summarystat/1/q75,-13420.771484375,5.0,1642281037.649336
/summarystat/1/q75,-13479.7431640625,6.0,1642281821.180688
/summarystat/1/q75,-13634.7099609375,7.0,1642282622.60482
/summarystat/1/q75,-13799.4638671875,8.0,1642283442.896761
/summarystat/1/q75,-13979.71484375,9.0,1642284283.987044
/summarystat/1/q75,-14144.4296875,10.0,1642285139.530709
/summarystat/1/q75,-14190.3916015625,11.0,1642286003.472409
/summarystat/1/q75,-14326.2197265625,12.0,1642286886.027178
/summarystat/1/q75,-14407.103515625,13.0,1642287776.757085
/summarystat/1/q75,-14543.5849609375,14.0,1642288680.343105
/summarystat/1/q75,-14707.0390625,15.0,1642289599.484442
/summarystat/1/q75,-14776.73046875,16.0,1642290524.875615
/summarystat/1/q75,-14800.0908203125,17.0,1642291453.592867
/summarystat/1/q75,-14789.9716796875,18.0,1642292382.780006
/summarystat/1/q75,-14826.291015625,19.0,1642293318.620713
/summarystat/1/q75,-14815.037109375,20.0,1642294247.915632
/summarystat/1/q75,-14821.7333984375,21.0,1642295175.865814
/summarystat/1/q75,-14822.1298828125,22.0,1642296118.666809
/summarystat/1/q75,-14826.8720703125,23.0,1642297046.726895
/summarystat/1/q75,-14838.8291015625,24.0,1642297969.514716
/summarystat/1/q75,-14821.5908203125,25.0,1642298898.955893
/summarystat/1/q75,-14856.03515625,26.0,1642299763.79666
/summarystat/1/q75,-14883.4345703125,27.0,1642300629.165699
/summarystat/1/q75,-14882.833984375,28.0,1642301492.237819
/summarystat/1/q75,-14865.7509765625,29.0,1642302354.13497
/summarystat/1/q75,-14793.2265625,30.0,1642303208.205364
/summarystat/1/q75,-14655.5009765625,31.0,1642304054.294855
/summarystat/1/q75,-14485.70703125,32.0,1642304891.628678
/summarystat/1/q75,-14259.0498046875,33.0,1642305721.098348
/summarystat/1/q75,-14058.8662109375,34.0,1642306542.376899
/summarystat/1/q75,-13867.650390625,35.0,1642307357.737892
/summarystat/1/q75,-13800.9951171875,36.0,1642308172.618408
/summarystat/1/q75,-13765.228515625,37.0,1642308987.350441
/summarystat/1/q75,-13798.7177734375,38.0,1642309800.89292
/summarystat/1/q75,-13799.9482421875,39.0,1642310617.194336
/summarystat/1/q75,-13844.1513671875,40.0,1642311430.667685
/summarystat/1/q75,-13822.5498046875,41.0,1642312241.961238
/summarystat/1/q75,-13743.46484375,42.0,1642313051.255664
/summarystat/1/q75,-13621.1337890625,43.0,1642313860.971763
/summarystat/1/q75,-13557.4013671875,44.0,1642314669.264241
/summarystat/1/q75,-13481.1015625,45.0,1642315478.203098
/summarystat/1/q75,-13363.97265625,46.0,1642316288.754787
/summarystat/1/q75,-13246.3603515625,47.0,1642317104.777838
/summarystat/1/q75,-13137.75390625,48.0,1642317925.18059
/summarystat/1/q75,-12937.224609375,49.0,1642318755.069384
/summarystat/1/q75,-12892.498046875,50.0,1642319582.8841
/summarystat/1/max,-13215.8466796875,0.0,1642277198.076122
/summarystat/1/max,-12539.7109375,1.0,1642277970.569234
/summarystat/1/max,-13109.525390625,2.0,1642278731.779931
/summarystat/1/max,-12959.990234375,3.0,1642279497.316493
/summarystat/1/max,-13055.0810546875,4.0,1642280265.152522
/summarystat/1/max,-11920.1142578125,5.0,1642281037.649336
/summarystat/1/max,-12912.486328125,6.0,1642281821.180688
/summarystat/1/max,-13026.4677734375,7.0,1642282622.60482
/summarystat/1/max,-13015.1513671875,8.0,1642283442.896761
/summarystat/1/max,-12922.5146484375,9.0,1642284283.987044
