metric,value,step,walltime
/main_fitness,0.0,0.0,1642104065.038979
/main_fitness,0.0,1.0,1642104726.719259
/main_fitness,0.0,2.0,1642105386.196263
/main_fitness,0.0,3.0,1642106048.148571
/main_fitness,0.0,4.0,1642106700.836603
/main_fitness,0.0,5.0,1642107357.053095
/main_fitness,0.0,6.0,1642108011.367456
/main_fitness,0.0,7.0,1642108676.803605
/main_fitness,0.0,8.0,1642109341.060982
/main_fitness,0.0,9.0,1642110004.861665
/main_fitness,0.0,10.0,1642110670.089967
/main_fitness,0.0,11.0,1642111335.272823
/main_fitness,0.0,12.0,1642112000.470494
/main_fitness,0.0,13.0,1642112666.686445
/main_fitness,0.0,14.0,1642113333.235978
/main_fitness,0.0,15.0,1642114001.988731
/main_fitness,0.0,16.0,1642114671.192798
/main_fitness,0.0,17.0,1642115340.583709
/main_fitness,0.0,18.0,1642116032.917115
/main_fitness,0.0,19.0,1642116719.735294
/main_fitness,0.0,20.0,1642117393.758052
/main_fitness,0.0,21.0,1642118057.393959
/main_fitness,0.0,22.0,1642118721.791123
/main_fitness,0.0,23.0,1642119383.479396
/main_fitness,0.0,24.0,1642120044.916819
/main_fitness,0.0,25.0,1642120706.648721
/main_fitness,0.0,26.0,1642121371.688889
/main_fitness,0.0,27.0,1642122037.750393
/main_fitness,0.0,28.0,1642122703.270363
/main_fitness,0.0,29.0,1642123373.796753
/main_fitness,0.0,30.0,1642124039.51711
/main_fitness,0.0,31.0,1642124700.121256
/main_fitness,0.0,32.0,1642125369.094321
/main_fitness,0.0,33.0,1642126038.800369
/main_fitness,0.0,34.0,1642126708.626647
/main_fitness,0.0,35.0,1642127379.40829
/main_fitness,0.0,36.0,1642128049.355413
/main_fitness,0.0,37.0,1642128722.817414
/main_fitness,0.0,38.0,1642129396.371344
/main_fitness,0.0,39.0,1642130068.695331
/main_fitness,0.0,40.0,1642130735.463225
/main_fitness,0.0,41.0,1642131402.366594
/main_fitness,0.0,42.0,1642132071.482909
/main_fitness,0.0,43.0,1642132745.340417
/main_fitness,0.0,44.0,1642133414.428402
/main_fitness,0.0,45.0,1642134091.456647
/main_fitness,0.0,46.0,1642134767.277048
/main_fitness,0.0,47.0,1642135443.632455
/main_fitness,0.0,48.0,1642136111.141151
/main_fitness,0.0,49.0,1642136776.758924
/main_fitness,0.0,50.0,1642137436.351064
/main_fitness,0.0,51.0,1642138091.966245
/main_fitness,0.0,52.0,1642138753.034159
/main_fitness,0.0,53.0,1642139416.681845
/main_fitness,0.0,54.0,1642140083.430656
/main_fitness,0.0,55.0,1642140751.086282
/main_fitness,0.0,56.0,1642141420.714625
/main_fitness,0.0,57.0,1642142088.271977
/main_fitness,0.0,58.0,1642142754.244193
/main_fitness,0.0,59.0,1642143423.248714
/main_fitness,0.0,60.0,1642144093.198162
/main_fitness,0.0,61.0,1642144763.349608
/main_fitness,0.0,62.0,1642145432.575964
/main_fitness,0.0,63.0,1642146097.316167
/main_fitness,0.0,64.0,1642146763.226004
/main_fitness,0.0,65.0,1642147436.204866
/main_fitness,0.0,66.0,1642148107.416514
/summarystat/1/mean,-0.00019999999494757503,0.0,1642104065.43997
/summarystat/1/mean,0.00039999998989515007,1.0,1642104726.719844
/summarystat/1/mean,0.0006000000284984708,2.0,1642105386.19668
/summarystat/1/mean,0.0007999999797903001,3.0,1642106048.149051
/summarystat/1/mean,0.00039999998989515007,4.0,1642106700.837015
/summarystat/1/mean,0.0,5.0,1642107357.053476
/summarystat/1/mean,-0.00039999998989515007,6.0,1642108011.367852
/summarystat/1/mean,0.0007999999797903001,7.0,1642108676.80413
/summarystat/1/mean,-0.00019999999494757503,8.0,1642109341.061371
/summarystat/1/mean,-0.00019999999494757503,9.0,1642110004.861956
/summarystat/1/mean,0.0006000000284984708,10.0,1642110670.090459
/summarystat/1/mean,0.00019999999494757503,11.0,1642111335.273277
/summarystat/1/mean,-0.0007999999797903001,12.0,1642112000.470908
/summarystat/1/mean,-0.00019999999494757503,13.0,1642112666.686886
/summarystat/1/mean,0.0006000000284984708,14.0,1642113333.236387
/summarystat/1/mean,-0.0007999999797903001,15.0,1642114001.989224
/summarystat/1/mean,0.00039999998989515007,16.0,1642114671.193199
/summarystat/1/mean,-0.004600000102072954,17.0,1642115340.58422
/summarystat/1/mean,-0.002199999988079071,18.0,1642116032.917604
/summarystat/1/mean,-0.0012000000569969416,19.0,1642116719.735752
/summarystat/1/mean,-0.002400000113993883,20.0,1642117393.758478
/summarystat/1/mean,0.0020000000949949026,21.0,1642118057.394351
/summarystat/1/mean,-0.002199999988079071,22.0,1642118721.79153
/summarystat/1/mean,-0.0034000000450760126,23.0,1642119383.48015
/summarystat/1/mean,-0.0026000000070780516,24.0,1642120044.917207
/summarystat/1/mean,0.00419999985024333,25.0,1642120706.649232
/summarystat/1/mean,-0.00139999995008111,26.0,1642121371.6893
/summarystat/1/mean,0.004000000189989805,27.0,1642122037.750816
/summarystat/1/mean,-0.0006000000284984708,28.0,1642122703.270963
/summarystat/1/mean,0.003800000064074993,29.0,1642123373.797045
/summarystat/1/mean,0.004999999888241291,30.0,1642124039.517502
/summarystat/1/mean,0.0006000000284984708,31.0,1642124700.121676
/summarystat/1/mean,0.0034000000450760126,32.0,1642125369.094755
/summarystat/1/mean,-0.005200000014156103,33.0,1642126038.800791
/summarystat/1/mean,0.004399999976158142,34.0,1642126708.627083
/summarystat/1/mean,-0.003599999938160181,35.0,1642127379.408724
/summarystat/1/mean,-0.0034000000450760126,36.0,1642128049.355836
/summarystat/1/mean,-0.003000000026077032,37.0,1642128722.817832
/summarystat/1/mean,-0.002400000113993883,38.0,1642129396.371746
/summarystat/1/mean,3.8857807061292367e-19,39.0,1642130068.695625
/summarystat/1/mean,-0.00139999995008111,40.0,1642130735.463623
/summarystat/1/mean,0.003800000064074993,41.0,1642131402.367182
/summarystat/1/mean,0.006599999964237213,42.0,1642132071.483298
/summarystat/1/mean,0.010200000368058681,43.0,1642132745.340833
/summarystat/1/mean,0.00860000029206276,44.0,1642133414.42888
/summarystat/1/mean,0.01119999960064888,45.0,1642134091.457047
/summarystat/1/mean,0.012199999764561653,46.0,1642134767.277588
/summarystat/1/mean,0.014999999664723873,47.0,1642135443.632848
/summarystat/1/mean,0.010599999688565731,48.0,1642136111.141572
/summarystat/1/mean,0.008799999952316284,49.0,1642136776.759246
/summarystat/1/mean,0.00839999970048666,50.0,1642137436.351457
/summarystat/1/mean,0.010999999940395355,51.0,1642138091.966668
/summarystat/1/mean,0.010599999688565731,52.0,1642138753.034608
/summarystat/1/mean,0.00559999980032444,53.0,1642139416.682279
/summarystat/1/mean,0.013199999928474426,54.0,1642140083.431079
/summarystat/1/mean,0.007600000128149986,55.0,1642140751.086737
/summarystat/1/mean,0.007799999788403511,56.0,1642141420.71514
/summarystat/1/mean,0.00860000029206276,57.0,1642142088.272467
/summarystat/1/mean,0.01140000019222498,58.0,1642142754.24462
/summarystat/1/mean,0.007600000128149986,59.0,1642143423.249086
/summarystat/1/mean,0.009600000455975533,60.0,1642144093.198726
/summarystat/1/mean,0.011800000444054604,61.0,1642144763.34999
/summarystat/1/mean,0.01119999960064888,62.0,1642145432.576385
/summarystat/1/mean,0.009800000116229057,63.0,1642146097.316578
/summarystat/1/mean,0.013799999840557575,64.0,1642146763.226406
/summarystat/1/mean,0.007600000128149986,65.0,1642147436.205315
/summarystat/1/mean,0.012199999764561653,66.0,1642148107.416942
/summarystat/1/min,-0.20000000298023224,0.0,1642104065.43997
/summarystat/1/min,-0.20000000298023224,1.0,1642104726.719844
/summarystat/1/min,-0.20000000298023224,2.0,1642105386.19668
/summarystat/1/min,-0.20000000298023224,3.0,1642106048.149051
/summarystat/1/min,-0.20000000298023224,4.0,1642106700.837015
/summarystat/1/min,-0.20000000298023224,5.0,1642107357.053476
/summarystat/1/min,-0.20000000298023224,6.0,1642108011.367852
/summarystat/1/min,-0.20000000298023224,7.0,1642108676.80413
/summarystat/1/min,-0.20000000298023224,8.0,1642109341.061371
/summarystat/1/min,-0.20000000298023224,9.0,1642110004.861956
/summarystat/1/min,-0.20000000298023224,10.0,1642110670.090459
/summarystat/1/min,-0.20000000298023224,11.0,1642111335.273277
/summarystat/1/min,-0.20000000298023224,12.0,1642112000.470908
