metric,value,step,walltime
global_step/sec,0.0,2500.0,1641110186.377215
global_step/sec,0.8631089925765991,2501.0,1641110187.535876
global_step/sec,252.62625122070312,2694.0,1641110188.299708
global_step/sec,348.31781005859375,3032.0,1641110189.270099
global_step/sec,363.92669677734375,3396.0,1641110190.2702823
global_step/sec,368.8768615722656,3765.0,1641110191.2706182
global_step/sec,365.8366394042969,4131.0,1641110192.2710757
global_step/sec,349.3550720214844,4480.0,1641110193.2700505
global_step/sec,322.03131103515625,4802.0,1641110194.2699287
global_step/sec,357.9188537597656,5160.0,1641110195.2701952
global_step/sec,361.64105224609375,5522.0,1641110196.2711778
global_step/sec,367.4101257324219,5889.0,1641110197.27006
global_step/sec,368.9554748535156,6258.0,1641110198.2701845
global_step/sec,368.77288818359375,6627.0,1641110199.2707696
global_step/sec,363.0000915527344,6990.0,1641110200.2707922
global_step/sec,360.2630920410156,7350.0,1641110201.2700322
global_step/sec,362.800537109375,7713.0,1641110202.270584
global_step/sec,367.1839294433594,8080.0,1641110203.2700837
global_step/sec,360.0336608886719,8440.0,1641110204.269997
global_step/sec,362.5755615234375,8803.0,1641110205.271218
global_step/sec,370.1459655761719,9173.0,1641110206.270803
global_step/sec,355.1044006347656,9528.0,1641110207.2704918
global_step/sec,366.0863342285156,9894.0,1641110208.2702644
global_step/sec,364.0632019042969,10258.0,1641110209.2700849
global_step/sec,370.0149230957031,10628.0,1641110210.270044
global_step/sec,351.7736511230469,10980.0,1641110211.2706826
global_step/sec,367.1744689941406,11347.0,1641110212.2702029
global_step/sec,361.68414306640625,11709.0,1641110213.2710648
global_step/sec,358.3692932128906,12067.0,1641110214.2700324
global_step/sec,362.79742431640625,12430.0,1641110215.270593
global_step/sec,359.0601806640625,12789.0,1641110216.270428
global_step/sec,370.0433044433594,13159.0,1641110217.2703028
global_step/sec,351.11444091796875,13510.0,1641110218.2699752
global_step/sec,365.5635986328125,13876.0,1641110219.2711935
global_step/sec,361.3235778808594,14237.0,1641110220.2703605
global_step/sec,358.4911193847656,14596.0,1641110221.271717
global_step/sec,356.1956787109375,14952.0,1641110222.271164
global_step/sec,368.3182373046875,15320.0,1641110223.2703042
global_step/sec,369.3852844238281,15690.0,1641110224.2720227
global_step/sec,361.6721496582031,16051.0,1641110225.2700908
global_step/sec,357.7251281738281,16409.0,1641110226.2708662
global_step/sec,361.3137512207031,16770.0,1641110227.2700052
global_step/sec,367.01837158203125,17137.0,1641110228.269949
global_step/sec,363.78887939453125,17501.0,1641110229.2705417
global_step/sec,369.2035217285156,17870.0,1641110230.2699647
global_step/sec,367.01531982421875,18237.0,1641110231.2699363
global_step/sec,362.9747314453125,18600.0,1641110232.2700086
global_step/sec,367.7089538574219,18968.0,1641110233.2707956
global_step/sec,365.8413391113281,19334.0,1641110234.271235
global_step/sec,359.4662170410156,19693.0,1641110235.269937
global_step/sec,366.98284912109375,20060.0,1641110236.2699797
global_step/sec,372.7200012207031,20433.0,1641110237.2707295
global_step/sec,354.15814208984375,20787.0,1641110238.2702794
global_step/sec,353.1209716796875,21140.0,1641110239.2699332
global_step/sec,366.9977111816406,21507.0,1641110240.2699418
global_step/sec,365.0067138671875,21872.0,1641110241.2699223
global_step/sec,365.8197326660156,22238.0,1641110242.270423
global_step/sec,366.03350830078125,22604.0,1641110243.2703307
global_step/sec,362.5797119140625,22967.0,1641110244.2715328
global_step/sec,366.5216979980469,23333.0,1641110245.2700624
global_step/sec,366.8308410644531,23700.0,1641110246.2705197
global_step/sec,326.3318786621094,24029.0,1641110247.2787051
global_step/sec,303.3363952636719,24330.0,1641110248.2709968
global_step/sec,359.9933776855469,24690.0,1641110249.271011
global_step/sec,350.36572265625,25040.0,1641110250.2699735
global_step/sec,358.7799987792969,25399.0,1641110251.270663
global_step/sec,360.99688720703125,25760.0,1641110252.27062
global_step/sec,360.1609191894531,26120.0,1641110253.2701795
global_step/sec,360.0234375,26480.0,1641110254.2701232
global_step/sec,366.848876953125,26847.0,1641110255.2705173
global_step/sec,360.0943603515625,27207.0,1641110256.2702346
global_step/sec,354.9946594238281,27562.0,1641110257.2702472
global_step/sec,368.0329895019531,27930.0,1641110258.2701533
global_step/sec,360.94708251953125,28291.0,1641110259.2702992
global_step/sec,358.6854553222656,28650.0,1641110260.2711856
global_step/sec,353.1897888183594,29003.0,1641110261.2706475
global_step/sec,353.5659484863281,29357.0,1641110262.2718713
global_step/sec,353.65887451171875,29710.0,1641110263.2700264
global_step/sec,359.5646667480469,30070.0,1641110264.271214
global_step/sec,352.4510803222656,30422.0,1641110265.2699528
global_step/sec,358.0026550292969,30780.0,1641110266.2699273
global_step/sec,360.76983642578125,31141.0,1641110267.2705715
global_step/sec,358.8083801269531,31500.0,1641110268.2711306
global_step/sec,360.34820556640625,31860.0,1641110269.2701862
global_step/sec,359.6297607421875,32220.0,1641110270.271168
global_step/sec,351.2882080078125,32571.0,1641110271.270354
global_step/sec,363.0439758300781,32934.0,1641110272.2702193
global_step/sec,360.635009765625,33295.0,1641110273.271242
global_step/sec,368.4488830566406,33663.0,1641110274.2700431
global_step/sec,364.84063720703125,34028.0,1641110275.2704608
global_step/sec,367.09820556640625,34395.0,1641110276.2701821
global_step/sec,356.7229919433594,34752.0,1641110277.2709699
global_step/sec,363.26934814453125,35115.0,1641110278.2702198
global_step/sec,365.033935546875,35480.0,1641110279.270134
global_step/sec,362.86590576171875,35843.0,1641110280.2704992
global_step/sec,357.17327880859375,36200.0,1641110281.2700114
global_step/sec,360.9041442871094,36561.0,1641110282.2702818
global_step/sec,359.0915222167969,36920.0,1641110283.2700264
global_step/sec,361.6013488769531,37282.0,1641110284.2711377
global_step/sec,363.3667907714844,37645.0,1641110285.270116
global_step/sec,365.04901123046875,38010.0,1641110286.2699938
global_step/sec,359.75323486328125,38370.0,1641110287.2706723
global_step/sec,369.188720703125,38739.0,1641110288.2701533
global_step/sec,365.87664794921875,39105.0,1641110289.2705095
global_step/sec,359.7890625,39465.0,1641110290.271081
global_step/sec,367.35137939453125,39832.0,1641110291.2701309
global_step/sec,363.6478271484375,40196.0,1641110292.2710874
global_step/sec,360.38836669921875,40556.0,1641110293.270012
global_step/sec,364.01092529296875,40920.0,1641110294.269989
global_step/sec,363.8116760253906,41284.0,1641110295.270509
global_step/sec,363.1476135253906,41647.0,1641110296.2700956
global_step/sec,369.00360107421875,42016.0,1641110297.2701104
global_step/sec,363.8788146972656,42380.0,1641110298.270438
global_step/sec,360.1562805175781,42740.0,1641110299.2699912
global_step/sec,368.843994140625,43109.0,1641110300.2704146
global_step/sec,364.92718505859375,43474.0,1641110301.2706149
global_step/sec,362.2418212890625,43836.0,1641110302.2699382
global_step/sec,365.0055847167969,44201.0,1641110303.2699285
global_step/sec,366.94970703125,44568.0,1641110304.2700608
global_step/sec,365.9150390625,44934.0,1641110305.2703767
global_step/sec,372.3516845703125,45307.0,1641110306.2720332
global_step/sec,339.66632080078125,45646.0,1641110307.2700832
Counters/environment_steps,2500.0,2500.0,1641110186.3793104
Counters/environment_steps,2501.0,2501.0,1641110187.5367854
Counters/environment_steps,2694.0,2694.0,1641110188.3020387
Counters/environment_steps,3032.0,3032.0,1641110189.2692301
Counters/environment_steps,3396.0,3396.0,1641110190.269615
Counters/environment_steps,3764.0,3764.0,1641110191.2686138
Counters/environment_steps,4131.0,4131.0,1641110192.26931
Counters/environment_steps,4480.0,4480.0,1641110193.2689779
Counters/environment_steps,4801.0,4801.0,1641110194.2696009
Counters/environment_steps,5160.0,5160.0,1641110195.268525
Counters/environment_steps,5522.0,5522.0,1641110196.269024
Counters/environment_steps,5888.0,5889.0,1641110197.2690563
Counters/environment_steps,6257.0,6257.0,1641110198.268369
Counters/environment_steps,6626.0,6626.0,1641110199.2687886
Counters/environment_steps,6990.0,6990.0,1641110200.2688007
Counters/environment_steps,7349.0,7349.0,1641110201.2682283
Counters/environment_steps,7712.0,7712.0,1641110202.2685592
Counters/environment_steps,8079.0,8080.0,1641110203.269492
Counters/environment_steps,8440.0,8440.0,1641110204.26842
Counters/environment_steps,8802.0,8802.0,1641110205.2690322
Counters/environment_steps,9172.0,9172.0,1641110206.2699177
Counters/environment_steps,9527.0,9527.0,1641110207.2698274
Counters/environment_steps,9893.0,9893.0,1641110208.2683282
Counters/environment_steps,10257.0,10258.0,1641110209.2691998
Counters/environment_steps,10627.0,10628.0,1641110210.26933
Counters/environment_steps,10980.0,10980.0,1641110211.2693348
Counters/environment_steps,11346.0,11346.0,1641110212.2683806
Counters/environment_steps,11707.0,11708.0,1641110213.268524
Counters/environment_steps,12067.0,12067.0,1641110214.2693772
Counters/environment_steps,12430.0,12430.0,1641110215.2699566
Counters/environment_steps,12788.0,12788.0,1641110216.2686362
Counters/environment_steps,13158.0,13158.0,1641110217.2682886
Counters/environment_steps,13509.0,13509.0,1641110218.2682436
Counters/environment_steps,13875.0,13875.0,1641110219.2692976
Counters/environment_steps,14237.0,14237.0,1641110220.2706294
Counters/environment_steps,14595.0,14595.0,1641110221.2692513
Counters/environment_steps,14951.0,14951.0,1641110222.2686565
Counters/environment_steps,15319.0,15319.0,1641110223.2684114
Counters/environment_steps,15689.0,15689.0,1641110224.2699978
Counters/environment_steps,16050.0,16051.0,1641110225.2695093
Counters/environment_steps,16409.0,16409.0,1641110226.2688982
Counters/environment_steps,16770.0,16770.0,1641110227.2685432
Counters/environment_steps,17136.0,17136.0,1641110228.2696118
Counters/environment_steps,17501.0,17501.0,1641110229.2698107
Counters/environment_steps,17870.0,17870.0,1641110230.2684374
Counters/environment_steps,18236.0,18237.0,1641110231.2693973
Counters/environment_steps,18600.0,18600.0,1641110232.2694032
Counters/environment_steps,18967.0,18967.0,1641110233.2706602
Counters/environment_steps,19332.0,19333.0,1641110234.2689588
Counters/environment_steps,19692.0,19692.0,1641110235.2683
Counters/environment_steps,20060.0,20060.0,1641110236.2685847
Counters/environment_steps,20432.0,20432.0,1641110237.268829
Counters/environment_steps,20786.0,20786.0,1641110238.2685406
Counters/environment_steps,21140.0,21140.0,1641110239.2683272
Counters/environment_steps,21506.0,21507.0,1641110240.2693584
Counters/environment_steps,21871.0,21872.0,1641110241.2693672
Counters/environment_steps,22237.0,22238.0,1641110242.2697797
Counters/environment_steps,22603.0,22603.0,1641110243.2698305
Counters/environment_steps,22966.0,22966.0,1641110244.2695043
Counters/environment_steps,23332.0,23332.0,1641110245.2695735
Counters/environment_steps,23700.0,23700.0,1641110246.2683382
Counters/environment_steps,24029.0,24029.0,1641110247.2783012
Counters/environment_steps,24329.0,24329.0,1641110248.268768
Counters/environment_steps,24689.0,24689.0,1641110249.2687285
Counters/environment_steps,25040.0,25040.0,1641110250.2684152
Counters/environment_steps,25398.0,25398.0,1641110251.270343
Counters/environment_steps,25760.0,25760.0,1641110252.2704103
Counters/environment_steps,26120.0,26120.0,1641110253.2684672
Counters/environment_steps,26480.0,26480.0,1641110254.2686813
Counters/environment_steps,26846.0,26846.0,1641110255.268673
Counters/environment_steps,27206.0,27206.0,1641110256.2695508
Counters/environment_steps,27561.0,27562.0,1641110257.2696614
Counters/environment_steps,27929.0,27929.0,1641110258.2683816
Counters/environment_steps,28290.0,28290.0,1641110259.2683644
Counters/environment_steps,28649.0,28649.0,1641110260.2692895
Counters/environment_steps,29003.0,29003.0,1641110261.2701368
Counters/environment_steps,29356.0,29356.0,1641110262.2699575
Counters/environment_steps,29710.0,29710.0,1641110263.268482
Counters/environment_steps,30068.0,30069.0,1641110264.2689414
Counters/environment_steps,30421.0,30422.0,1641110265.2692199
Counters/environment_steps,30780.0,30780.0,1641110266.269202
Counters/environment_steps,31140.0,31140.0,1641110267.2703729
Counters/environment_steps,31500.0,31500.0,1641110268.2685528
Counters/environment_steps,31860.0,31860.0,1641110269.268463
