metric,value,step,walltime
/main_fitness,0.0,0.0,1642103801.595261
/main_fitness,0.0,1.0,1642104291.511525
/main_fitness,0.0,2.0,1642104778.749296
/main_fitness,0.0,3.0,1642105266.671983
/main_fitness,0.0,4.0,1642105755.161761
/main_fitness,0.0,5.0,1642106244.429233
/main_fitness,0.0,6.0,1642106734.234406
/main_fitness,0.0,7.0,1642107220.965596
/main_fitness,0.0,8.0,1642107707.792136
/main_fitness,0.0,9.0,1642108196.948209
/main_fitness,0.0,10.0,1642108686.474701
/main_fitness,0.0,11.0,1642109176.277415
/main_fitness,0.0,12.0,1642109665.838137
/main_fitness,0.0,13.0,1642110154.460975
/main_fitness,0.0,14.0,1642110644.125207
/main_fitness,0.0,15.0,1642111133.269797
/main_fitness,0.0,16.0,1642111622.244026
/main_fitness,0.0,17.0,1642112112.330463
/main_fitness,0.0,18.0,1642112601.241587
/main_fitness,0.0,19.0,1642113091.864996
/main_fitness,0.0,20.0,1642113576.729994
/main_fitness,0.0,21.0,1642114065.100393
/main_fitness,0.0,22.0,1642114551.766858
/main_fitness,0.0,23.0,1642115043.487762
/main_fitness,0.0,24.0,1642115532.81727
/main_fitness,0.0,25.0,1642116018.99875
/main_fitness,0.0,26.0,1642116509.608794
/main_fitness,0.0,27.0,1642117003.135262
/main_fitness,0.0,28.0,1642117500.408153
/main_fitness,0.0,29.0,1642118000.766529
/main_fitness,0.0,30.0,1642118501.991974
/main_fitness,0.0,31.0,1642119005.368836
/main_fitness,0.0,32.0,1642119508.647521
/main_fitness,0.0,33.0,1642120010.845825
/main_fitness,0.0,34.0,1642120515.516947
/main_fitness,0.0,35.0,1642121007.918845
/main_fitness,0.0,36.0,1642121483.634518
/main_fitness,0.0,37.0,1642121959.903471
/main_fitness,0.0,38.0,1642122436.442833
/main_fitness,0.0,39.0,1642122914.132183
/main_fitness,0.0,40.0,1642123390.356006
/main_fitness,0.0,41.0,1642123866.087253
/main_fitness,0.0,42.0,1642124341.699305
/main_fitness,0.0,43.0,1642124816.437726
/main_fitness,0.0,44.0,1642125291.09569
/main_fitness,0.0,45.0,1642125765.820564
/main_fitness,0.0,46.0,1642126240.231647
/main_fitness,0.0,47.0,1642126715.487383
/main_fitness,0.0,48.0,1642127192.185504
/main_fitness,0.0,49.0,1642127670.910807
/main_fitness,0.0,50.0,1642128149.144767
/main_fitness,0.0,51.0,1642128629.198689
/main_fitness,0.0,52.0,1642129110.896197
/main_fitness,0.0,53.0,1642129595.634236
/main_fitness,0.0,54.0,1642130082.626099
/main_fitness,0.0,55.0,1642130573.221124
/main_fitness,0.0,56.0,1642131066.387574
/main_fitness,0.0,57.0,1642131562.215319
/main_fitness,0.0,58.0,1642132058.028751
/main_fitness,0.0,59.0,1642132555.291716
/main_fitness,0.0,60.0,1642133048.513462
/main_fitness,0.0,61.0,1642133537.838642
/main_fitness,0.0,62.0,1642134022.626643
/main_fitness,0.0,63.0,1642134502.816989
/main_fitness,0.0,64.0,1642134977.746937
/main_fitness,0.0,65.0,1642135451.052258
/main_fitness,0.0,66.0,1642135922.129213
/main_fitness,0.0,67.0,1642136392.119414
/main_fitness,0.0,68.0,1642136861.429802
/main_fitness,0.0,69.0,1642137358.743741
/main_fitness,0.0,70.0,1642137864.741492
/main_fitness,0.0,71.0,1642138371.489717
/main_fitness,0.0,72.0,1642138879.429217
/main_fitness,0.0,73.0,1642139386.921862
/main_fitness,0.0,74.0,1642139893.23876
/main_fitness,0.0,75.0,1642140399.084048
/main_fitness,0.0,76.0,1642140901.12644
/main_fitness,0.0,77.0,1642141402.802128
/main_fitness,0.0,78.0,1642141905.81419
/main_fitness,0.0,79.0,1642142409.474974
/main_fitness,0.0,80.0,1642142913.186842
/main_fitness,0.0,81.0,1642143409.370754
/main_fitness,0.0,82.0,1642143912.218465
/main_fitness,0.0,83.0,1642144424.539901
/main_fitness,0.0,84.0,1642144906.392574
/main_fitness,0.0,85.0,1642145384.359579
/main_fitness,0.0,86.0,1642145862.815665
/main_fitness,0.0,87.0,1642146341.230337
/main_fitness,0.0,88.0,1642146819.92044
/main_fitness,0.0,89.0,1642147298.701323
/main_fitness,0.0,90.0,1642147778.828869
/main_fitness,0.0,91.0,1642148258.426342
/summarystat/1/mean,-6749.8798828125,0.0,1642103801.915455
/summarystat/1/mean,-6826.38671875,1.0,1642104291.512052
/summarystat/1/mean,-6699.1396484375,2.0,1642104778.749801
/summarystat/1/mean,-6773.92431640625,3.0,1642105266.67246
/summarystat/1/mean,-6705.67626953125,4.0,1642105755.16218
/summarystat/1/mean,-6741.201171875,5.0,1642106244.42969
/summarystat/1/mean,-6737.78369140625,6.0,1642106734.234909
/summarystat/1/mean,-6736.34228515625,7.0,1642107220.966068
/summarystat/1/mean,-6724.3564453125,8.0,1642107707.792555
