metric,value,step,walltime
/main_fitness,0.0,0.0,1641221112.432424
/main_fitness,0.0,1.0,1641221132.887066
/main_fitness,0.0,2.0,1641221152.849702
/main_fitness,0.0,3.0,1641221175.303608
/main_fitness,0.0,4.0,1641221198.756719
/main_fitness,0.0,5.0,1641221217.473603
/main_fitness,0.0,6.0,1641221237.448345
/main_fitness,0.0,7.0,1641221260.097094
/main_fitness,0.0,8.0,1641221284.548488
/main_fitness,0.0,9.0,1641221311.296607
/main_fitness,0.0,10.0,1641221335.568404
/main_fitness,0.0,11.0,1641221353.766425
/main_fitness,0.0,12.0,1641221373.199759
/main_fitness,0.0,13.0,1641221393.812288
/main_fitness,0.0,14.0,1641221411.6878
/main_fitness,0.0,15.0,1641221432.916999
/main_fitness,0.0,16.0,1641221455.418117
/main_fitness,0.0,17.0,1641221475.166889
/main_fitness,0.0,18.0,1641221500.812544
/main_fitness,0.0,19.0,1641221524.034152
/main_fitness,0.0,20.0,1641221546.727514
/main_fitness,0.0,21.0,1641221568.096527
/main_fitness,0.0,22.0,1641221587.117214
/main_fitness,0.0,23.0,1641221610.972657
/main_fitness,0.0,24.0,1641221630.331038
/main_fitness,0.0,25.0,1641221654.867442
/main_fitness,0.0,26.0,1641221674.324246
/main_fitness,0.0,27.0,1641221699.529498
/main_fitness,0.0,28.0,1641221718.993267
/main_fitness,0.0,29.0,1641221743.60175
/main_fitness,0.0,30.0,1641221766.512227
/main_fitness,0.0,31.0,1641221789.027265
/main_fitness,0.0,32.0,1641221810.931931
/main_fitness,0.0,33.0,1641221830.359346
/main_fitness,0.0,34.0,1641221850.659215
/main_fitness,0.0,35.0,1641221872.576317
/main_fitness,0.0,36.0,1641221892.347436
/main_fitness,0.0,37.0,1641221916.800139
/main_fitness,0.0,38.0,1641221936.165479
/main_fitness,0.0,39.0,1641221962.997731
/main_fitness,0.0,40.0,1641221986.85077
/main_fitness,0.0,41.0,1641222007.539157
/main_fitness,0.0,42.0,1641222026.812782
/main_fitness,0.0,43.0,1641222053.288736
/main_fitness,0.0,44.0,1641222073.26815
/main_fitness,0.0,45.0,1641222098.610103
/main_fitness,0.0,46.0,1641222118.076324
/main_fitness,0.0,47.0,1641222143.190733
/main_fitness,0.0,48.0,1641222163.009788
/main_fitness,0.0,49.0,1641222187.555103
/main_fitness,0.0,50.0,1641222207.639378
/main_fitness,0.0,51.0,1641222227.849062
/main_fitness,0.0,52.0,1641222246.55484
/main_fitness,0.0,53.0,1641222268.360879
/main_fitness,0.0,54.0,1641222288.208662
/main_fitness,0.0,55.0,1641222312.270907
/main_fitness,0.0,56.0,1641222331.91533
/main_fitness,0.0,57.0,1641222355.893298
/main_fitness,0.0,58.0,1641222375.954047
/main_fitness,0.0,59.0,1641222399.02438
/main_fitness,0.0,60.0,1641222421.937623
/main_fitness,0.0,61.0,1641222441.876051
/main_fitness,0.0,62.0,1641222459.934096
/main_fitness,0.0,63.0,1641222484.404394
/main_fitness,0.0,64.0,1641222502.562451
/main_fitness,0.0,65.0,1641222527.565574
/main_fitness,0.0,66.0,1641222547.123544
/main_fitness,0.0,67.0,1641222572.04473
/main_fitness,0.0,68.0,1641222591.029526
/main_fitness,0.0,69.0,1641222617.191283
/main_fitness,0.0,70.0,1641222638.007231
/main_fitness,0.0,71.0,1641222657.804994
/main_fitness,0.0,72.0,1641222680.514549
/main_fitness,0.0,73.0,1641222699.833547
/main_fitness,0.0,74.0,1641222725.03929
/main_fitness,0.0,75.0,1641222749.016179
/main_fitness,0.0,76.0,1641222768.605593
/main_fitness,0.0,77.0,1641222792.532433
/main_fitness,0.0,78.0,1641222811.564095
/main_fitness,0.0,79.0,1641222834.262406
/main_fitness,0.0,80.0,1641222853.911826
/main_fitness,0.0,81.0,1641222873.086217
/main_fitness,0.0,82.0,1641222892.495271
/main_fitness,0.0,83.0,1641222917.534536
/main_fitness,0.0,84.0,1641222936.690587
/main_fitness,0.0,85.0,1641222960.901295
/main_fitness,0.0,86.0,1641222979.755501
/main_fitness,0.0,87.0,1641223002.035172
/main_fitness,0.0,88.0,1641223022.327814
/main_fitness,0.0,89.0,1641223045.030764
/main_fitness,0.0,90.0,1641223067.960096
/main_fitness,0.0,91.0,1641223087.86502
/main_fitness,0.0,92.0,1641223110.93119
/main_fitness,0.0,93.0,1641223134.977786
/main_fitness,0.0,94.0,1641223153.422604
/main_fitness,0.0,95.0,1641223178.625706
/main_fitness,0.0,96.0,1641223198.549429
/main_fitness,0.0,97.0,1641223218.070914
/main_fitness,0.0,98.0,1641223244.248373
/main_fitness,0.0,99.0,1641223267.413567
/main_fitness,0.0,100.0,1641223289.986785
/main_fitness,0.0,101.0,1641223309.279968
/main_fitness,0.0,102.0,1641223331.869587
/main_fitness,0.0,103.0,1641223352.734738
/main_fitness,0.0,104.0,1641223375.684391
/main_fitness,0.0,105.0,1641223395.67102
/main_fitness,0.0,106.0,1641223418.406461
/main_fitness,0.0,107.0,1641223439.456802
/main_fitness,0.0,108.0,1641223458.548164
/main_fitness,0.0,109.0,1641223481.815795
/main_fitness,0.0,110.0,1641223500.581789
/main_fitness,0.0,111.0,1641223523.519852
/main_fitness,0.0,112.0,1641223542.997236
/main_fitness,0.0,113.0,1641223572.866153
/main_fitness,0.0,114.0,1641223594.577594
/main_fitness,0.0,115.0,1641223619.995342
/main_fitness,0.0,116.0,1641223640.105259
/main_fitness,0.0,117.0,1641223659.48117
/main_fitness,0.0,118.0,1641223679.654689
/main_fitness,0.0,119.0,1641223707.308107
/main_fitness,0.0,120.0,1641223732.35246
/main_fitness,0.0,121.0,1641223751.202066
/main_fitness,0.0,122.0,1641223778.012346
/main_fitness,0.0,123.0,1641223798.08824
/main_fitness,0.0,124.0,1641223823.827376
/main_fitness,0.0,125.0,1641223843.861898
/main_fitness,0.0,126.0,1641223862.441458
/main_fitness,0.0,127.0,1641223884.520902
/main_fitness,0.0,128.0,1641223903.337692
/main_fitness,0.0,129.0,1641223932.766724
/main_fitness,0.0,130.0,1641223958.427063
/main_fitness,0.0,131.0,1641223983.004365
/main_fitness,0.0,132.0,1641224007.612193
/main_fitness,0.0,133.0,1641224028.089502
/main_fitness,0.0,134.0,1641224052.843082
/main_fitness,0.0,135.0,1641224072.56291
/main_fitness,0.0,136.0,1641224097.363397
/main_fitness,0.0,137.0,1641224118.196128
/main_fitness,0.0,138.0,1641224140.16203
/main_fitness,0.0,139.0,1641224161.93813
/main_fitness,0.0,140.0,1641224183.053056
/main_fitness,0.0,141.0,1641224203.268496
/main_fitness,0.0,142.0,1641224225.853813
/main_fitness,0.0,143.0,1641224247.112066
/main_fitness,0.0,144.0,1641224266.426381
/main_fitness,0.0,145.0,1641224286.256224
/main_fitness,0.0,146.0,1641224310.996567
/main_fitness,0.0,147.0,1641224331.812176
/main_fitness,0.0,148.0,1641224355.722212
/main_fitness,0.0,149.0,1641224383.703663
/main_fitness,0.0,150.0,1641224404.440608
/main_fitness,0.0,151.0,1641224422.930135
/main_fitness,0.0,152.0,1641224443.203782
/main_fitness,0.0,153.0,1641224462.838398
