metric,value,step,walltime
/main_fitness,0.0,0.0,1642188514.42242
/main_fitness,0.0,1.0,1642188533.856465
/main_fitness,0.0,2.0,1642188553.482968
/main_fitness,0.0,3.0,1642188571.735384
/main_fitness,0.0,4.0,1642188590.670336
/main_fitness,0.0,5.0,1642188615.601847
/main_fitness,0.0,6.0,1642188636.50668
/main_fitness,0.0,7.0,1642188662.035848
/main_fitness,0.0,8.0,1642188681.305189
/main_fitness,0.0,9.0,1642188706.931549
/main_fitness,0.0,10.0,1642188727.665553
/main_fitness,0.0,11.0,1642188747.293874
/main_fitness,0.0,12.0,1642188771.039954
/main_fitness,0.0,13.0,1642188789.599682
/main_fitness,0.0,14.0,1642188814.90942
/main_fitness,0.0,15.0,1642188837.503688
/main_fitness,0.0,16.0,1642188858.314338
/main_fitness,0.0,17.0,1642188883.985202
/main_fitness,0.0,18.0,1642188904.575892
/main_fitness,0.0,19.0,1642188928.118428
/main_fitness,0.0,20.0,1642188949.429828
/main_fitness,0.0,21.0,1642188974.236867
/main_fitness,0.0,22.0,1642188994.363776
/main_fitness,0.0,23.0,1642189019.879751
/main_fitness,0.0,24.0,1642189040.427324
/main_fitness,0.0,25.0,1642189065.88097
/main_fitness,0.0,26.0,1642189086.655182
/main_fitness,0.0,27.0,1642189108.001505
/main_fitness,0.0,28.0,1642189131.262004
/main_fitness,0.0,29.0,1642189155.121824
/main_fitness,0.0,30.0,1642189175.053303
/main_fitness,0.0,31.0,1642189198.216383
/main_fitness,0.0,32.0,1642189220.542722
/main_fitness,0.0,33.0,1642189247.092751
/main_fitness,0.0,34.0,1642189268.63587
/main_fitness,0.0,35.0,1642189295.651077
/main_fitness,0.0,36.0,1642189317.157133
/main_fitness,0.0,37.0,1642189344.08179
/main_fitness,0.0,38.0,1642189365.609119
/main_fitness,0.0,39.0,1642189392.620658
/main_fitness,0.0,40.0,1642189415.356437
/main_fitness,0.0,41.0,1642189437.015731
/main_fitness,0.0,42.0,1642189457.275779
/main_fitness,0.0,43.0,1642189481.792366
/main_fitness,0.0,44.0,1642189505.133453
/main_fitness,0.0,45.0,1642189526.725572
/main_fitness,0.0,46.0,1642189549.45763
/main_fitness,0.0,47.0,1642189572.872906
/main_fitness,0.0,48.0,1642189594.923453
/main_fitness,0.0,49.0,1642189621.767833
/main_fitness,0.0,50.0,1642189647.965445
/main_fitness,0.0,51.0,1642189667.269493
/main_fitness,0.0,52.0,1642189695.883605
/main_fitness,0.0,53.0,1642189717.936683
/main_fitness,0.0,54.0,1642189743.612313
/main_fitness,0.0,55.0,1642189765.123678
/main_fitness,0.0,56.0,1642189788.194825
/main_fitness,0.0,57.0,1642189810.661903
/main_fitness,0.0,58.0,1642189833.308656
/main_fitness,0.0,59.0,1642189856.734336
/main_fitness,0.0,60.0,1642189875.903768
/main_fitness,0.0,61.0,1642189897.042798
/main_fitness,0.0,62.0,1642189916.957508
/main_fitness,0.0,63.0,1642189942.246058
/main_fitness,0.0,64.0,1642189962.21218
/main_fitness,0.0,65.0,1642189983.966387
/main_fitness,0.0,66.0,1642190005.592143
/main_fitness,0.0,67.0,1642190023.464573
/main_fitness,0.0,68.0,1642190049.868621
/main_fitness,0.0,69.0,1642190072.838733
/main_fitness,0.0,70.0,1642190093.33551
/main_fitness,0.0,71.0,1642190119.252162
/main_fitness,0.0,72.0,1642190138.97813
/main_fitness,0.0,73.0,1642190166.015281
/main_fitness,0.0,74.0,1642190188.634972
/main_fitness,0.0,75.0,1642190207.994187
/main_fitness,0.0,76.0,1642190234.123106
/main_fitness,0.0,77.0,1642190264.525066
/main_fitness,0.0,78.0,1642190283.418169
/main_fitness,0.0,79.0,1642190312.465683
/main_fitness,0.0,80.0,1642190335.046409
/main_fitness,0.0,81.0,1642190360.065617
/main_fitness,0.0,82.0,1642190382.034732
/main_fitness,0.0,83.0,1642190401.828877
/main_fitness,0.0,84.0,1642190428.529641
/main_fitness,0.0,85.0,1642190449.31321
/main_fitness,0.0,86.0,1642190475.536389
/main_fitness,0.0,87.0,1642190496.210325
/main_fitness,0.0,88.0,1642190523.051314
/main_fitness,0.0,89.0,1642190544.918139
/main_fitness,0.0,90.0,1642190569.186039
/main_fitness,0.0,91.0,1642190595.587211
/main_fitness,0.0,92.0,1642190616.355399
/main_fitness,0.0,93.0,1642190638.543161
/main_fitness,0.0,94.0,1642190658.704516
/main_fitness,0.0,95.0,1642190680.094647
/main_fitness,0.0,96.0,1642190702.267038
/main_fitness,0.0,97.0,1642190722.444228
/main_fitness,0.0,98.0,1642190749.092058
/summarystat/1/mean,-6722.94580078125,0.0,1642188514.765883
/summarystat/1/mean,-6921.39208984375,1.0,1642188533.856915
/summarystat/1/mean,-6822.42138671875,2.0,1642188553.483375
/summarystat/1/mean,-6843.53466796875,3.0,1642188571.735983
/summarystat/1/mean,-6689.00341796875,4.0,1642188590.67059
/summarystat/1/mean,-6828.20263671875,5.0,1642188615.602393
/summarystat/1/mean,-6785.7548828125,6.0,1642188636.507413
/summarystat/1/mean,-6755.30078125,7.0,1642188662.036416
/summarystat/1/mean,-6687.91748046875,8.0,1642188681.305758
/summarystat/1/mean,-6715.76708984375,9.0,1642188706.931807
/summarystat/1/mean,-6801.37060546875,10.0,1642188727.666102
/summarystat/1/mean,-6705.2412109375,11.0,1642188747.294343
