metric,value,step,walltime
/main_fitness,0.0,0.0,1640223610.836825
/main_fitness,0.0,1.0,1640223629.14603
/main_fitness,0.0,2.0,1640223651.113053
/main_fitness,0.0,3.0,1640223669.306239
/main_fitness,0.0,4.0,1640223688.731407
/main_fitness,0.0,5.0,1640223707.033308
/main_fitness,0.0,6.0,1640223726.943087
/main_fitness,0.0,7.0,1640223746.47866
/main_fitness,0.0,8.0,1640223768.724992
/main_fitness,0.0,9.0,1640223789.961429
/main_fitness,0.0,10.0,1640223810.670963
/main_fitness,0.0,11.0,1640223829.914836
/main_fitness,0.0,12.0,1640223849.761573
/main_fitness,0.0,13.0,1640223868.772079
/main_fitness,0.0,14.0,1640223886.954905
/main_fitness,0.0,15.0,1640223907.514046
/main_fitness,0.0,16.0,1640223928.109413
/main_fitness,0.0,17.0,1640223948.123869
/main_fitness,0.0,18.0,1640223965.951046
/main_fitness,0.0,19.0,1640223988.816515
/main_fitness,0.0,20.0,1640224007.909579
/main_fitness,0.0,21.0,1640224031.143048
/main_fitness,0.0,22.0,1640224050.158288
/main_fitness,0.0,23.0,1640224072.359491
/main_fitness,0.0,24.0,1640224094.406414
/main_fitness,0.0,25.0,1640224112.709529
/main_fitness,0.0,26.0,1640224131.994409
/main_fitness,0.0,27.0,1640224150.142688
/main_fitness,0.0,28.0,1640224169.777321
/main_fitness,0.0,29.0,1640224192.007486
/main_fitness,0.0,30.0,1640224210.043065
/main_fitness,0.0,31.0,1640224230.530726
/main_fitness,0.0,32.0,1640224249.428172
/main_fitness,0.0,33.0,1640224267.746635
/main_fitness,0.0,34.0,1640224292.520449
/main_fitness,0.0,35.0,1640224313.251144
/main_fitness,0.0,36.0,1640224331.440213
/main_fitness,0.0,37.0,1640224351.312034
/main_fitness,0.0,38.0,1640224377.38682
/main_fitness,0.0,39.0,1640224405.749595
/main_fitness,0.0,40.0,1640224429.568357
/main_fitness,0.0,41.0,1640224451.1504
/main_fitness,0.0,42.0,1640224473.851587
/main_fitness,0.0,43.0,1640224492.412889
/main_fitness,0.0,44.0,1640224514.389068
/main_fitness,0.0,45.0,1640224532.730437
/main_fitness,0.0,46.0,1640224552.528437
/main_fitness,0.0,47.0,1640224577.634606
/main_fitness,0.0,48.0,1640224596.067043
/main_fitness,0.0,49.0,1640224627.007062
/main_fitness,0.0,50.0,1640224644.858474
/main_fitness,0.0,51.0,1640224666.067555
/main_fitness,0.0,52.0,1640224686.850366
/main_fitness,0.0,53.0,1640224711.285082
/main_fitness,0.0,54.0,1640224730.720475
/main_fitness,0.0,55.0,1640224755.961418
/main_fitness,0.0,56.0,1640224776.372408
/main_fitness,0.0,57.0,1640224796.572441
/main_fitness,0.0,58.0,1640224818.400192
/main_fitness,0.0,59.0,1640224843.031802
/main_fitness,0.0,60.0,1640224866.686337
/main_fitness,0.0,61.0,1640224886.581392
/main_fitness,0.0,62.0,1640224910.605323
/main_fitness,0.0,63.0,1640224931.229725
/main_fitness,0.0,64.0,1640224956.73193
/main_fitness,0.0,65.0,1640224977.017834
/main_fitness,0.0,66.0,1640224998.350564
/main_fitness,0.0,67.0,1640225018.153106
/main_fitness,0.0,68.0,1640225042.538298
/main_fitness,0.0,69.0,1640225065.352424
/main_fitness,0.0,70.0,1640225084.251314
/main_fitness,0.0,71.0,1640225104.817081
/main_fitness,0.0,72.0,1640225124.483053
/main_fitness,0.0,73.0,1640225143.977512
/main_fitness,0.0,74.0,1640225170.02885
/main_fitness,0.0,75.0,1640225191.857097
/main_fitness,0.0,76.0,1640225211.768573
/main_fitness,0.0,77.0,1640225232.380001
/main_fitness,0.0,78.0,1640225255.67191
/main_fitness,0.0,79.0,1640225279.106273
/main_fitness,0.0,80.0,1640225306.257185
/main_fitness,0.0,81.0,1640225325.930252
/main_fitness,0.0,82.0,1640225346.080501
/main_fitness,0.0,83.0,1640225370.798242
/main_fitness,0.0,84.0,1640225394.497639
/main_fitness,0.0,85.0,1640225413.916687
/main_fitness,0.0,86.0,1640225433.141778
/main_fitness,0.0,87.0,1640225456.047718
/main_fitness,0.0,88.0,1640225478.674415
/main_fitness,0.0,89.0,1640225501.82313
/main_fitness,0.0,90.0,1640225521.186585
/main_fitness,0.0,91.0,1640225540.936716
/main_fitness,0.0,92.0,1640225564.186687
/main_fitness,0.0,93.0,1640225586.80306
/main_fitness,0.0,94.0,1640225606.587842
/main_fitness,0.0,95.0,1640225631.927816
/main_fitness,0.0,96.0,1640225652.499246
/main_fitness,0.0,97.0,1640225671.238516
/main_fitness,0.0,98.0,1640225693.001749
/main_fitness,0.0,99.0,1640225715.189086
/main_fitness,0.0,100.0,1640225736.023972
/main_fitness,0.0,101.0,1640225757.185954
/main_fitness,0.0,102.0,1640225777.770115
/main_fitness,0.0,103.0,1640225804.876396
/main_fitness,0.0,104.0,1640225825.607609
/main_fitness,0.0,105.0,1640225846.003211
/main_fitness,0.0,106.0,1640225868.088827
/main_fitness,0.0,107.0,1640225885.949313
/main_fitness,0.0,108.0,1640225911.25784
/main_fitness,0.0,109.0,1640225935.098336
/main_fitness,0.0,110.0,1640225955.943719
/main_fitness,0.0,111.0,1640225975.303681
/main_fitness,0.0,112.0,1640225999.365938
/main_fitness,0.0,113.0,1640226018.771692
/main_fitness,0.0,114.0,1640226038.341816
/main_fitness,0.0,115.0,1640226060.455533
/main_fitness,0.0,116.0,1640226082.06505
/main_fitness,0.0,117.0,1640226102.915356
/main_fitness,0.0,118.0,1640226121.678252
/main_fitness,0.0,119.0,1640226145.633542
/main_fitness,0.0,120.0,1640226165.303793
/main_fitness,0.0,121.0,1640226187.286251
/main_fitness,0.0,122.0,1640226205.643321
/main_fitness,0.0,123.0,1640226230.681035
/main_fitness,0.0,124.0,1640226251.648084
/main_fitness,0.0,125.0,1640226274.390637
/main_fitness,0.0,126.0,1640226297.624457
/main_fitness,0.0,127.0,1640226317.849554
/main_fitness,0.0,128.0,1640226342.437116
/main_fitness,0.0,129.0,1640226365.241767
/main_fitness,0.0,130.0,1640226384.050909
/main_fitness,0.0,131.0,1640226408.000899
/main_fitness,0.0,132.0,1640226427.957529
/main_fitness,0.0,133.0,1640226446.065071
/main_fitness,0.0,134.0,1640226469.063904
/main_fitness,0.0,135.0,1640226490.651085
/main_fitness,0.0,136.0,1640226509.681027
/main_fitness,0.0,137.0,1640226536.309789
/main_fitness,0.0,138.0,1640226560.283837
/main_fitness,0.0,139.0,1640226584.953838
/main_fitness,0.0,140.0,1640226608.48093
/main_fitness,0.0,141.0,1640226631.522899
/main_fitness,0.0,142.0,1640226655.819161
/main_fitness,0.0,143.0,1640226677.325916
/main_fitness,0.0,144.0,1640226697.330861
/main_fitness,0.0,145.0,1640226718.646673
/main_fitness,0.0,146.0,1640226742.306571
/main_fitness,0.0,147.0,1640226762.905987
/main_fitness,0.0,148.0,1640226785.182605
/main_fitness,0.0,149.0,1640226808.13588
/main_fitness,0.0,150.0,1640226826.888764
/main_fitness,0.0,151.0,1640226853.864019
/main_fitness,0.0,152.0,1640226873.209619
/main_fitness,0.0,153.0,1640226899.53324
/main_fitness,0.0,154.0,1640226919.490631
/main_fitness,0.0,155.0,1640226947.534022
/main_fitness,0.0,156.0,1640226968.539319
/main_fitness,0.0,157.0,1640226987.416058
/main_fitness,0.0,158.0,1640227009.212261
/main_fitness,0.0,159.0,1640227039.21772
/main_fitness,0.0,160.0,1640227064.060299
/main_fitness,0.0,161.0,1640227086.931158
/main_fitness,0.0,162.0,1640227109.927797
/main_fitness,0.0,163.0,1640227129.823489
/main_fitness,0.0,164.0,1640227153.231655
/main_fitness,0.0,165.0,1640227172.972354
/main_fitness,0.0,166.0,1640227196.806394
/main_fitness,0.0,167.0,1640227220.820355
/main_fitness,0.0,168.0,1640227240.87324
/main_fitness,0.0,169.0,1640227261.398389
/main_fitness,0.0,170.0,1640227279.36075
/main_fitness,0.0,171.0,1640227303.718359
/main_fitness,0.0,172.0,1640227323.668787
/main_fitness,0.0,173.0,1640227349.31347
/main_fitness,0.0,174.0,1640227368.862084
/main_fitness,0.0,175.0,1640227388.590996
/main_fitness,0.0,176.0,1640227416.960769
/main_fitness,0.0,177.0,1640227437.895884
/main_fitness,0.0,178.0,1640227464.757302
/main_fitness,0.0,179.0,1640227485.737312
/main_fitness,0.0,180.0,1640227504.524569
/main_fitness,0.0,181.0,1640227524.076569
/main_fitness,0.0,182.0,1640227546.402341
/main_fitness,0.0,183.0,1640227567.134904
/main_fitness,0.0,184.0,1640227589.856055
/main_fitness,0.0,185.0,1640227609.469064
/main_fitness,0.0,186.0,1640227631.684457
/main_fitness,0.0,187.0,1640227652.767725
/main_fitness,0.0,188.0,1640227678.15073
/main_fitness,0.0,189.0,1640227700.886671
/main_fitness,0.0,190.0,1640227724.99475
/main_fitness,0.0,191.0,1640227744.727177
/main_fitness,0.0,192.0,1640227770.14107
/main_fitness,0.0,193.0,1640227789.666866
/main_fitness,0.0,194.0,1640227810.369602
/main_fitness,0.0,195.0,1640227832.747789
/main_fitness,0.0,196.0,1640227853.078176
/main_fitness,0.0,197.0,1640227871.48886
/main_fitness,0.0,198.0,1640227892.764109
/main_fitness,0.0,199.0,1640227914.414307
/main_fitness,0.0,200.0,1640227934.359459
/main_fitness,0.0,201.0,1640227955.299392
/main_fitness,0.0,202.0,1640227974.112092
/main_fitness,0.0,203.0,1640227994.696685
/main_fitness,0.0,204.0,1640228016.34267
/main_fitness,0.0,205.0,1640228038.45919
/main_fitness,0.0,206.0,1640228058.003715
/main_fitness,0.0,207.0,1640228082.940744
/main_fitness,0.0,208.0,1640228103.224356
/main_fitness,0.0,209.0,1640228126.107637
/main_fitness,0.0,210.0,1640228146.289768
/main_fitness,0.0,211.0,1640228169.442441
/main_fitness,0.0,212.0,1640228189.970311
/main_fitness,0.0,213.0,1640228212.985958
/main_fitness,0.0,214.0,1640228232.377143
/main_fitness,0.0,215.0,1640228256.500122
/main_fitness,0.0,216.0,1640228277.111338
/main_fitness,0.0,217.0,1640228300.102039
/main_fitness,0.0,218.0,1640228324.201541
/main_fitness,0.0,219.0,1640228346.059954
/main_fitness,0.0,220.0,1640228363.989202
/main_fitness,0.0,221.0,1640228389.584832
/main_fitness,0.0,222.0,1640228409.692808
/main_fitness,0.0,223.0,1640228431.484817
/main_fitness,0.0,224.0,1640228451.293787
/main_fitness,0.0,225.0,1640228474.112699
/main_fitness,0.0,226.0,1640228497.240151
/main_fitness,0.0,227.0,1640228517.528262
/main_fitness,0.0,228.0,1640228541.899588
/main_fitness,0.0,229.0,1640228564.85892
/main_fitness,0.0,230.0,1640228583.849287
/main_fitness,0.0,231.0,1640228609.187632
/main_fitness,0.0,232.0,1640228633.07367
/main_fitness,0.0,233.0,1640228653.525099
/main_fitness,0.0,234.0,1640228677.922975
/main_fitness,0.0,235.0,1640228698.572954
/main_fitness,0.0,236.0,1640228721.523206
/main_fitness,0.0,237.0,1640228743.725616
/main_fitness,0.0,238.0,1640228764.704388
/main_fitness,0.0,239.0,1640228791.402991
/main_fitness,0.0,240.0,1640228808.30068
/main_fitness,0.0,241.0,1640228834.039233
/main_fitness,0.0,242.0,1640228856.046815
/main_fitness,0.0,243.0,1640228879.178721
/main_fitness,0.0,244.0,1640228904.594097
/main_fitness,0.0,245.0,1640228923.745148
/main_fitness,0.0,246.0,1640228949.901481
/main_fitness,0.0,247.0,1640228969.453019
/main_fitness,0.0,248.0,1640228992.851019
/main_fitness,0.0,249.0,1640229014.513177
/main_fitness,0.0,250.0,1640229034.372025
/main_fitness,0.0,251.0,1640229057.080287
/main_fitness,0.0,252.0,1640229078.848712
/main_fitness,0.0,253.0,1640229098.350684
/main_fitness,0.0,254.0,1640229118.429005
/main_fitness,0.0,255.0,1640229144.623799
/main_fitness,0.0,256.0,1640229163.640084
/main_fitness,0.0,257.0,1640229183.640528
/main_fitness,0.0,258.0,1640229206.363573
/main_fitness,0.0,259.0,1640229228.058204
/main_fitness,0.0,260.0,1640229248.840785
/main_fitness,0.0,261.0,1640229272.003759
/main_fitness,0.0,262.0,1640229290.623641
/main_fitness,0.0,263.0,1640229317.596864
/main_fitness,0.0,264.0,1640229337.054247
/main_fitness,0.0,265.0,1640229362.75815
/main_fitness,0.0,266.0,1640229383.214436
/main_fitness,0.0,267.0,1640229407.540652
/main_fitness,0.0,268.0,1640229431.490355
/main_fitness,0.0,269.0,1640229456.931416
/main_fitness,0.0,270.0,1640229478.189979
/main_fitness,0.0,271.0,1640229498.276168
/main_fitness,0.0,272.0,1640229522.361324
/main_fitness,0.0,273.0,1640229543.579311
/main_fitness,0.0,274.0,1640229566.984481
/main_fitness,0.0,275.0,1640229586.690056
/main_fitness,0.0,276.0,1640229613.252309
/main_fitness,0.0,277.0,1640229632.33228
/main_fitness,0.0,278.0,1640229656.413624
/main_fitness,0.0,279.0,1640229678.24499
/main_fitness,0.0,280.0,1640229698.9812
/main_fitness,0.0,281.0,1640229719.009375
/main_fitness,0.0,282.0,1640229742.400927
/main_fitness,0.0,283.0,1640229761.669174
/main_fitness,0.0,284.0,1640229781.670748
/main_fitness,0.0,285.0,1640229804.041291
/main_fitness,0.0,286.0,1640229823.769714
/main_fitness,0.0,287.0,1640229848.349699
/main_fitness,0.0,288.0,1640229869.356033
/main_fitness,0.0,289.0,1640229890.482603
/main_fitness,0.0,290.0,1640229911.035603
/main_fitness,0.0,291.0,1640229933.505158
/main_fitness,0.0,292.0,1640229952.7738
/main_fitness,0.0,293.0,1640229974.000723
/main_fitness,0.0,294.0,1640229998.532885
/main_fitness,0.0,295.0,1640230021.07103
/main_fitness,0.0,296.0,1640230043.10012
/main_fitness,0.0,297.0,1640230064.348438
/main_fitness,0.0,298.0,1640230087.837535
/main_fitness,0.0,299.0,1640230108.815843
/main_fitness,0.0,300.0,1640230131.019936
/main_fitness,0.0,301.0,1640230151.715198
/main_fitness,0.0,302.0,1640230170.360678
/main_fitness,0.0,303.0,1640230192.121764
/main_fitness,0.0,304.0,1640230212.520526
/main_fitness,0.0,305.0,1640230237.12027
/main_fitness,0.0,306.0,1640230260.139479
/main_fitness,0.0,307.0,1640230284.12376
/main_fitness,0.0,308.0,1640230303.521359
/main_fitness,0.0,309.0,1640230329.384972
/main_fitness,0.0,310.0,1640230346.819846
/main_fitness,0.0,311.0,1640230370.569844
/main_fitness,0.0,312.0,1640230390.862326
/main_fitness,0.0,313.0,1640230409.582499
/main_fitness,0.0,314.0,1640230431.728272
/main_fitness,0.0,315.0,1640230451.034364
/main_fitness,0.0,316.0,1640230474.216509
/main_fitness,0.0,317.0,1640230493.852956
/main_fitness,0.0,318.0,1640230513.80249
/main_fitness,0.0,319.0,1640230539.543241
/main_fitness,0.0,320.0,1640230558.402176
/main_fitness,0.0,321.0,1640230580.878107
/main_fitness,0.0,322.0,1640230601.968362
/main_fitness,0.0,323.0,1640230627.175111
/main_fitness,0.0,324.0,1640230652.124224
/main_fitness,0.0,325.0,1640230672.406659
/main_fitness,0.0,326.0,1640230697.015939
/main_fitness,0.0,327.0,1640230717.148256
/main_fitness,0.0,328.0,1640230741.752649
/main_fitness,0.0,329.0,1640230770.59003
/main_fitness,0.0,330.0,1640230791.006589
/main_fitness,0.0,331.0,1640230811.091547
/main_fitness,0.0,332.0,1640230834.902397
/main_fitness,0.0,333.0,1640230855.650463
