metric,value,step,walltime
/main_fitness,0.0,0.0,1642751574.759299
/main_fitness,0.0,1.0,1642751584.609117
/main_fitness,0.0,2.0,1642751594.983524
/main_fitness,0.0,3.0,1642751609.359363
/main_fitness,0.0,4.0,1642751619.713953
/main_fitness,0.0,5.0,1642751630.814167
/main_fitness,0.0,6.0,1642751641.350106
/main_fitness,0.0,7.0,1642751649.016452
/main_fitness,0.0,8.0,1642751658.489081
/main_fitness,0.0,9.0,1642751670.557787
/main_fitness,0.0,10.0,1642751679.484426
/main_fitness,0.0,11.0,1642751687.068216
/main_fitness,0.0,12.0,1642751694.622409
/main_fitness,0.0,13.0,1642751702.220008
/main_fitness,0.0,14.0,1642751709.853048
/main_fitness,0.0,15.0,1642751717.399883
/main_fitness,0.0,16.0,1642751724.980549
/main_fitness,0.0,17.0,1642751732.553372
/main_fitness,0.0,18.0,1642751740.095953
/main_fitness,0.0,19.0,1642751748.691538
/main_fitness,0.0,20.0,1642751758.323485
/main_fitness,0.0,21.0,1642751768.630512
/main_fitness,0.0,22.0,1642751779.48042
/main_fitness,0.0,23.0,1642751790.54347
/main_fitness,0.0,24.0,1642751803.666887
/main_fitness,0.0,25.0,1642751816.41882
/main_fitness,0.0,26.0,1642751827.198803
/main_fitness,0.0,27.0,1642751838.226221
/main_fitness,0.0,28.0,1642751849.120918
/main_fitness,0.0,29.0,1642751863.419945
/main_fitness,0.0,30.0,1642751869.989371
/main_fitness,0.0,31.0,1642751882.475043
/main_fitness,0.0,32.0,1642751894.872536
/main_fitness,0.0,33.0,1642751908.188515
/main_fitness,0.0,34.0,1642751918.740061
/main_fitness,0.0,35.0,1642751926.328175
/main_fitness,0.0,36.0,1642751935.813376
/main_fitness,0.0,37.0,1642751945.168311
/main_fitness,0.0,38.0,1642751957.507309
/main_fitness,0.0,39.0,1642751970.240337
/main_fitness,0.0,40.0,1642751977.806499
/main_fitness,0.0,41.0,1642751985.355673
/main_fitness,0.0,42.0,1642751992.847309
/main_fitness,0.0,43.0,1642752000.380365
/main_fitness,0.0,44.0,1642752007.929778
/main_fitness,0.0,45.0,1642752015.421397
/main_fitness,0.0,46.0,1642752023.066749
/main_fitness,0.0,47.0,1642752032.751915
/main_fitness,0.0,48.0,1642752042.082287
/main_fitness,0.0,49.0,1642752054.033085
/main_fitness,0.0,50.0,1642752061.921213
/main_fitness,0.0,51.0,1642752069.400169
/main_fitness,0.0,52.0,1642752076.983073
/main_fitness,0.0,53.0,1642752084.52789
/main_fitness,0.0,54.0,1642752092.091025
/main_fitness,0.0,55.0,1642752099.555954
/main_fitness,0.0,56.0,1642752107.140378
/main_fitness,0.0,57.0,1642752114.695548
/main_fitness,0.0,58.0,1642752121.307653
/main_fitness,0.0,59.0,1642752135.262812
/main_fitness,0.0,60.0,1642752144.767395
/main_fitness,0.0,61.0,1642752155.631917
/main_fitness,0.0,62.0,1642752163.44608
/main_fitness,0.0,63.0,1642752170.976664
/main_fitness,0.0,64.0,1642752177.528483
/main_fitness,0.0,65.0,1642752191.12355
/main_fitness,0.0,66.0,1642752197.787678
/main_fitness,0.0,67.0,1642752210.871896
/main_fitness,0.0,68.0,1642752224.596393
/main_fitness,0.0,69.0,1642752239.939056
/main_fitness,0.0,70.0,1642752246.56499
/main_fitness,0.0,71.0,1642752259.224578
/main_fitness,0.0,72.0,1642752270.59129
/main_fitness,0.0,73.0,1642752278.151564
/main_fitness,0.0,74.0,1642752285.841921
/main_fitness,0.0,75.0,1642752293.480895
/main_fitness,0.0,76.0,1642752301.022168
/main_fitness,0.0,77.0,1642752311.268489
/main_fitness,0.0,78.0,1642752323.181846
/main_fitness,0.0,79.0,1642752334.018706
/main_fitness,0.0,80.0,1642752342.071524
/main_fitness,0.0,81.0,1642752352.805562
/main_fitness,0.0,82.0,1642752365.701556
/main_fitness,0.0,83.0,1642752378.466739
/main_fitness,0.0,84.0,1642752389.476636
/main_fitness,0.0,85.0,1642752397.169959
/main_fitness,0.0,86.0,1642752404.690813
/main_fitness,0.0,87.0,1642752414.159743
/main_fitness,0.0,88.0,1642752424.679613
/main_fitness,0.0,89.0,1642752436.69164
/main_fitness,0.0,90.0,1642752444.322939
/main_fitness,0.0,91.0,1642752452.038497
/main_fitness,0.0,92.0,1642752459.570968
/main_fitness,0.0,93.0,1642752467.144099
/main_fitness,0.0,94.0,1642752478.11743
/main_fitness,0.0,95.0,1642752487.709805
/main_fitness,0.0,96.0,1642752499.505489
/main_fitness,0.0,97.0,1642752507.089438
/main_fitness,0.0,98.0,1642752516.81793
/main_fitness,0.0,99.0,1642752527.449002
/main_fitness,0.0,100.0,1642752535.740456
