metric,value,step,walltime
/main_fitness,0.0,0.0,1640296791.535774
/main_fitness,0.0,1.0,1640296810.31396
/main_fitness,0.0,2.0,1640296829.953544
/main_fitness,0.0,3.0,1640296850.894872
/main_fitness,0.0,4.0,1640296871.989947
/main_fitness,0.0,5.0,1640296892.045441
/main_fitness,0.0,6.0,1640296914.303571
/main_fitness,0.0,7.0,1640296936.213392
/main_fitness,0.0,8.0,1640296960.949555
/main_fitness,0.0,9.0,1640296984.16578
/main_fitness,0.0,10.0,1640297005.937677
/main_fitness,0.0,11.0,1640297027.628706
/main_fitness,0.0,12.0,1640297049.995263
/main_fitness,0.0,13.0,1640297070.53788
/main_fitness,0.0,14.0,1640297091.863272
/main_fitness,0.0,15.0,1640297117.512282
/main_fitness,0.0,16.0,1640297140.434666
/main_fitness,0.0,17.0,1640297164.489749
/main_fitness,0.0,18.0,1640297186.22517
/main_fitness,0.0,19.0,1640297215.537916
/main_fitness,0.0,20.0,1640297235.842977
/main_fitness,0.0,21.0,1640297260.211358
/main_fitness,0.0,22.0,1640297281.238885
/main_fitness,0.0,23.0,1640297302.609022
/main_fitness,0.0,24.0,1640297328.75019
/main_fitness,0.0,25.0,1640297350.166204
/main_fitness,0.0,26.0,1640297375.5599
/main_fitness,0.0,27.0,1640297397.201496
/main_fitness,0.0,28.0,1640297420.613591
/main_fitness,0.0,29.0,1640297446.099197
/main_fitness,0.0,30.0,1640297467.344524
/main_fitness,0.0,31.0,1640297490.875061
/main_fitness,0.0,32.0,1640297513.716757
/main_fitness,0.0,33.0,1640297534.107712
/main_fitness,0.0,34.0,1640297556.043934
/main_fitness,0.0,35.0,1640297580.995666
/main_fitness,0.0,36.0,1640297602.464961
/main_fitness,0.0,37.0,1640297627.407144
/main_fitness,0.0,38.0,1640297648.798924
/main_fitness,0.0,39.0,1640297675.932401
/main_fitness,0.0,40.0,1640297697.343173
/main_fitness,0.0,41.0,1640297723.404163
/main_fitness,0.0,42.0,1640297745.090626
/main_fitness,0.0,43.0,1640297771.730808
/main_fitness,0.0,44.0,1640297792.827953
/main_fitness,0.0,45.0,1640297819.098743
/main_fitness,0.0,46.0,1640297841.672204
/main_fitness,0.0,47.0,1640297868.048022
/main_fitness,0.0,48.0,1640297890.639463
/main_fitness,0.0,49.0,1640297919.497701
/main_fitness,0.0,50.0,1640297946.232827
/main_fitness,0.0,51.0,1640297969.161422
/main_fitness,0.0,52.0,1640297996.445942
/main_fitness,0.0,53.0,1640298018.387697
/main_fitness,0.0,54.0,1640298044.721956
/main_fitness,0.0,55.0,1640298067.67363
/main_fitness,0.0,56.0,1640298094.610272
/main_fitness,0.0,57.0,1640298121.347884
/main_fitness,0.0,58.0,1640298141.264293
/main_fitness,0.0,59.0,1640298170.202027
/main_fitness,0.0,60.0,1640298193.551178
/main_fitness,0.0,61.0,1640298218.312805
/main_fitness,0.0,62.0,1640298240.508884
/main_fitness,0.0,63.0,1640298262.441038
/main_fitness,0.0,64.0,1640298285.753105
/main_fitness,0.0,65.0,1640298307.243485
/main_fitness,0.0,66.0,1640298332.012359
/main_fitness,0.0,67.0,1640298353.869654
/main_fitness,0.0,68.0,1640298378.369187
/main_fitness,0.0,69.0,1640298402.742277
/main_fitness,0.0,70.0,1640298422.662234
/main_fitness,0.0,71.0,1640298449.658932
/main_fitness,0.0,72.0,1640298473.7499
/main_fitness,0.0,73.0,1640298497.159368
/main_fitness,0.0,74.0,1640298517.020462
/main_fitness,0.0,75.0,1640298540.188666
/main_fitness,0.0,76.0,1640298560.077822
/main_fitness,0.0,77.0,1640298586.636925
/main_fitness,0.0,78.0,1640298608.043901
/main_fitness,0.0,79.0,1640298636.435214
/main_fitness,0.0,80.0,1640298660.823735
/main_fitness,0.0,81.0,1640298683.745684
/main_fitness,0.0,82.0,1640298705.127937
/main_fitness,0.0,83.0,1640298724.460365
/main_fitness,0.0,84.0,1640298747.563655
/main_fitness,0.0,85.0,1640298767.389613
/main_fitness,0.0,86.0,1640298793.001229
/main_fitness,0.0,87.0,1640298814.521062
/main_fitness,0.0,88.0,1640298843.13955
/main_fitness,0.0,89.0,1640298869.557906
/main_fitness,0.0,90.0,1640298888.915598
/main_fitness,0.0,91.0,1640298911.452649
/main_fitness,0.0,92.0,1640298932.345082
/main_fitness,0.0,93.0,1640298957.240506
/main_fitness,0.0,94.0,1640298977.509443
/main_fitness,0.0,95.0,1640299000.012007
/main_fitness,0.0,96.0,1640299022.167248
/main_fitness,0.0,97.0,1640299043.755576
/main_fitness,0.0,98.0,1640299065.735514
/main_fitness,0.0,99.0,1640299089.654569
/main_fitness,0.0,100.0,1640299112.998971
/main_fitness,0.0,101.0,1640299134.742451
/main_fitness,0.0,102.0,1640299157.380191
/main_fitness,0.0,103.0,1640299182.270003
/main_fitness,0.0,104.0,1640299202.278269
/main_fitness,0.0,105.0,1640299221.107959
/main_fitness,0.0,106.0,1640299247.848679
/main_fitness,0.0,107.0,1640299269.243032
/main_fitness,0.0,108.0,1640299290.060364
/main_fitness,0.0,109.0,1640299310.794353
/main_fitness,0.0,110.0,1640299335.453964
/main_fitness,0.0,111.0,1640299360.285308
/main_fitness,0.0,112.0,1640299381.661351
/main_fitness,0.0,113.0,1640299405.683108
/main_fitness,0.0,114.0,1640299430.225055
/main_fitness,0.0,115.0,1640299450.903109
/main_fitness,0.0,116.0,1640299470.496144
/main_fitness,0.0,117.0,1640299492.817752
/main_fitness,0.0,118.0,1640299512.99437
/main_fitness,0.0,119.0,1640299539.295655
