metric,value,step,walltime
/main_fitness,0.0,0.0,1639558453.837459
/main_fitness,0.0,2.0,1639558543.558363
/main_fitness,0.0,4.0,1639558628.550056
/main_fitness,0.0,6.0,1639558719.621617
/main_fitness,0.0,8.0,1639558806.018072
/main_fitness,0.0,10.0,1639558896.403646
/main_fitness,0.0,12.0,1639558986.238129
/main_fitness,0.0,14.0,1639559076.624852
/main_fitness,0.0,16.0,1639559162.669515
/main_fitness,0.0,18.0,1639559255.965927
/main_fitness,0.0,20.0,1639559346.368806
/main_fitness,0.0,22.0,1639559444.988193
/main_fitness,0.0,24.0,1639559537.373111
/main_fitness,0.0,26.0,1639559625.132282
/main_fitness,0.0,28.0,1639559718.192019
/main_fitness,0.0,30.0,1639559810.899728
/main_fitness,0.0,32.0,1639559904.876295
/main_fitness,0.0,34.0,1639559994.223796
/main_fitness,0.0,36.0,1639560080.195968
/main_fitness,0.0,38.0,1639560174.414781
/main_fitness,0.0,40.0,1639560264.686685
/main_fitness,0.0,42.0,1639560356.174775
/main_fitness,0.0,44.0,1639560444.337545
/main_fitness,0.0,46.0,1639560534.563242
/main_fitness,0.0,48.0,1639560627.442536
/main_fitness,0.0,50.0,1639560716.290161
/main_fitness,0.0,52.0,1639560803.715036
/main_fitness,0.0,54.0,1639560892.636335
/main_fitness,0.0,56.0,1639560982.905973
/main_fitness,0.0,58.0,1639561075.405219
/main_fitness,0.0,60.0,1639561169.56658
/main_fitness,0.0,62.0,1639561264.321201
/main_fitness,0.0,64.0,1639561355.653232
/main_fitness,0.0,66.0,1639561452.550065
/main_fitness,0.0,68.0,1639561550.037768
/main_fitness,0.0,70.0,1639561641.938428
/main_fitness,0.0,72.0,1639561733.331973
/main_fitness,0.0,74.0,1639561823.049099
/main_fitness,0.0,76.0,1639561915.612287
/main_fitness,0.0,78.0,1639562009.791741
/main_fitness,0.0,80.0,1639562103.75834
/main_fitness,0.0,82.0,1639562199.899976
/main_fitness,0.0,84.0,1639562295.985383
/main_fitness,0.0,86.0,1639562395.49264
/main_fitness,0.0,88.0,1639562494.493871
/main_fitness,0.0,90.0,1639562590.714399
/main_fitness,0.0,92.0,1639562699.604411
/main_fitness,0.0,94.0,1639562798.957706
/main_fitness,0.0,96.0,1639562893.259414
/main_fitness,0.0,98.0,1639562993.790948
/main_fitness,0.0,100.0,1639563094.872487
/main_fitness,0.0,102.0,1639563192.212715
/main_fitness,0.0,104.0,1639563286.010993
/main_fitness,0.0,106.0,1639563380.022718
/main_fitness,0.0,108.0,1639563472.870394
/main_fitness,0.0,110.0,1639563561.162797
/main_fitness,0.0,112.0,1639563655.924277
/main_fitness,0.0,114.0,1639563752.453425
/main_fitness,0.0,116.0,1639563847.079343
/main_fitness,0.0,118.0,1639563946.481798
/main_fitness,0.0,120.0,1639564041.669369
/main_fitness,0.0,122.0,1639564137.53317
/main_fitness,0.0,124.0,1639564233.488868
/main_fitness,0.0,126.0,1639564331.550252
/main_fitness,0.0,128.0,1639564431.796243
/main_fitness,0.0,130.0,1639564527.213219
/main_fitness,0.0,132.0,1639564620.147715
/main_fitness,0.0,134.0,1639564713.579257
/main_fitness,0.0,136.0,1639564811.379522
/main_fitness,0.0,138.0,1639564909.828408
/main_fitness,0.0,140.0,1639565015.425865
/main_fitness,0.0,142.0,1639565109.443268
/main_fitness,0.0,144.0,1639565208.783014
/main_fitness,0.0,146.0,1639565304.499546
/main_fitness,0.0,148.0,1639565399.777627
/main_fitness,0.0,150.0,1639565491.46023
/main_fitness,0.0,152.0,1639565593.244806
/main_fitness,0.0,154.0,1639565688.380232
/main_fitness,0.0,156.0,1639565787.820103
/main_fitness,0.0,158.0,1639565890.5686
/main_fitness,0.0,160.0,1639565977.940859
/main_fitness,0.0,162.0,1639566068.922078
/main_fitness,0.0,164.0,1639566163.243199
/main_fitness,0.0,166.0,1639566260.713166
/main_fitness,0.0,168.0,1639566354.748132
/main_fitness,0.0,170.0,1639566447.111235
/main_fitness,0.0,172.0,1639566539.054018
/main_fitness,0.0,174.0,1639566639.560483
/main_fitness,0.0,176.0,1639566731.348204
/main_fitness,0.0,178.0,1639566822.412724
/main_fitness,0.0,180.0,1639566919.643357
/main_fitness,0.0,182.0,1639567016.113479
/main_fitness,0.0,184.0,1639567119.064674
/main_fitness,0.0,186.0,1639567221.01018
/main_fitness,0.0,188.0,1639567319.142003
/main_fitness,0.0,190.0,1639567416.764533
/main_fitness,0.0,192.0,1639567511.358725
/main_fitness,0.0,194.0,1639567603.459647
/main_fitness,0.0,196.0,1639567699.267954
/main_fitness,0.0,198.0,1639567797.675223
/main_fitness,0.0,200.0,1639567894.036784
/main_fitness,0.0,202.0,1639567989.838403
/main_fitness,0.0,204.0,1639568091.899756
/main_fitness,0.0,206.0,1639568189.985859
/main_fitness,0.0,208.0,1639568294.091003
/main_fitness,0.0,210.0,1639568391.494659
/main_fitness,0.0,212.0,1639568493.209994
/main_fitness,0.0,214.0,1639568588.872702
/main_fitness,0.0,216.0,1639568685.366757
/main_fitness,0.0,218.0,1639568785.897787
/main_fitness,0.0,220.0,1639568882.11865
/main_fitness,0.0,222.0,1639568974.885969
/main_fitness,0.0,224.0,1639569071.760856
/main_fitness,0.0,226.0,1639569162.91238
