metric,value,step,walltime
/main_fitness,0.0,0.0,1642103906.779498
/main_fitness,0.0,1.0,1642104484.630245
/main_fitness,0.0,2.0,1642105048.671688
/main_fitness,0.0,3.0,1642105609.23016
/main_fitness,0.0,4.0,1642106173.155491
/main_fitness,0.0,5.0,1642106740.219338
/main_fitness,0.0,6.0,1642107321.518279
/main_fitness,0.0,7.0,1642107917.154551
/main_fitness,0.0,8.0,1642108524.132801
/main_fitness,0.0,9.0,1642109124.880906
/main_fitness,0.0,10.0,1642109711.171888
/main_fitness,0.0,11.0,1642110290.266513
/main_fitness,0.0,12.0,1642110870.109854
/main_fitness,0.0,13.0,1642111482.690672
/main_fitness,0.0,14.0,1642112095.451889
/main_fitness,0.0,15.0,1642112713.079815
/main_fitness,0.0,16.0,1642113332.628317
/main_fitness,0.0,17.0,1642113952.426003
/main_fitness,0.0,18.0,1642114573.778768
/main_fitness,0.0,19.0,1642115190.586605
/main_fitness,0.0,20.0,1642115804.228135
/main_fitness,0.0,21.0,1642116418.019121
/main_fitness,0.0,22.0,1642117036.498443
/main_fitness,0.0,23.0,1642117668.743438
/main_fitness,0.0,24.0,1642118315.533193
/main_fitness,0.0,25.0,1642118978.646859
/main_fitness,0.0,26.0,1642119662.153677
/main_fitness,0.0,27.0,1642120344.058956
/main_fitness,0.0,28.0,1642121015.827976
/main_fitness,0.0,29.0,1642121688.541228
/main_fitness,0.0,30.0,1642122364.692276
/main_fitness,0.0,31.0,1642123049.594206
/main_fitness,0.0,32.0,1642123736.423572
/main_fitness,0.0,33.0,1642124389.225788
/main_fitness,0.0,34.0,1642125038.750324
/main_fitness,0.0,35.0,1642125676.557669
/main_fitness,0.0,36.0,1642126306.781703
/main_fitness,0.0,37.0,1642126922.754021
/main_fitness,0.0,38.0,1642127524.892095
/main_fitness,0.0,39.0,1642128119.132824
/main_fitness,0.0,40.0,1642128704.343805
/main_fitness,0.0,41.0,1642129284.845183
/main_fitness,0.0,42.0,1642129859.664851
/main_fitness,0.0,43.0,1642130431.550111
/main_fitness,0.0,44.0,1642131003.859305
/main_fitness,0.0,45.0,1642131582.438273
/main_fitness,0.0,46.0,1642132166.671064
/main_fitness,0.0,47.0,1642132764.945859
/main_fitness,0.0,48.0,1642133366.777648
/main_fitness,0.0,49.0,1642133973.440213
/main_fitness,0.0,50.0,1642134575.437239
/main_fitness,0.0,51.0,1642135170.477683
/main_fitness,0.0,52.0,1642135759.171811
/main_fitness,0.0,53.0,1642136346.514535
/main_fitness,0.0,54.0,1642136938.243336
/main_fitness,0.0,55.0,1642137538.072793
/main_fitness,0.0,56.0,1642138181.372128
/main_fitness,0.0,57.0,1642138841.344198
/main_fitness,0.0,58.0,1642139508.280478
/main_fitness,0.0,59.0,1642140172.079996
/main_fitness,0.0,60.0,1642140832.083906
/main_fitness,0.0,61.0,1642141478.368893
/main_fitness,0.0,62.0,1642142118.789191
/main_fitness,0.0,63.0,1642142748.175349
/main_fitness,0.0,64.0,1642143376.284304
/main_fitness,0.0,65.0,1642144005.063476
/main_fitness,0.0,66.0,1642144635.442434
/main_fitness,0.0,67.0,1642145262.29273
/main_fitness,0.0,68.0,1642145884.13524
/main_fitness,0.0,69.0,1642146502.919377
/main_fitness,0.0,70.0,1642147117.701004
/main_fitness,0.0,71.0,1642147731.8452
/summarystat/1/mean,-9479.23046875,0.0,1642103907.096193
/summarystat/1/mean,-9284.490234375,1.0,1642104484.630822
/summarystat/1/mean,-9412.681640625,2.0,1642105048.672166
/summarystat/1/mean,-9563.048828125,3.0,1642105609.230609
/summarystat/1/mean,-9842.2900390625,4.0,1642106173.156051
/summarystat/1/mean,-9966.1640625,5.0,1642106740.219766
/summarystat/1/mean,-9626.4501953125,6.0,1642107321.518698
/summarystat/1/mean,-9333.2255859375,7.0,1642107917.154951
/summarystat/1/mean,-9216.443359375,8.0,1642108524.133196
/summarystat/1/mean,-9376.19140625,9.0,1642109124.881229
/summarystat/1/mean,-9831.791015625,10.0,1642109711.172867
/summarystat/1/mean,-10116.77734375,11.0,1642110290.26691
/summarystat/1/mean,-10309.9091796875,12.0,1642110870.11027
/summarystat/1/mean,-10378.5234375,13.0,1642111482.691194
/summarystat/1/mean,-10323.056640625,14.0,1642112095.452382
/summarystat/1/mean,-10149.4091796875,15.0,1642112713.080346
/summarystat/1/mean,-9870.724609375,16.0,1642113332.628739
/summarystat/1/mean,-9647.68359375,17.0,1642113952.426454
/summarystat/1/mean,-9510.66015625,18.0,1642114573.779332
/summarystat/1/mean,-9469.283203125,19.0,1642115190.586958
/summarystat/1/mean,-9405.8232421875,20.0,1642115804.22854
/summarystat/1/mean,-9279.337890625,21.0,1642116418.019533
/summarystat/1/mean,-9142.7421875,22.0,1642117036.498947
/summarystat/1/mean,-8906.8818359375,23.0,1642117668.743991
/summarystat/1/mean,-8675.052734375,24.0,1642118315.533682
/summarystat/1/mean,-8507.1123046875,25.0,1642118978.647348
/summarystat/1/mean,-8340.4228515625,26.0,1642119662.154152
/summarystat/1/mean,-8257.8837890625,27.0,1642120344.059404
/summarystat/1/mean,-8264.7548828125,28.0,1642121015.828424
/summarystat/1/mean,-8178.56982421875,29.0,1642121688.541601
/summarystat/1/mean,-8083.25,30.0,1642122364.692697
/summarystat/1/mean,-7934.6875,31.0,1642123049.594628
/summarystat/1/mean,-7829.36279296875,32.0,1642123736.447209
/summarystat/1/mean,-7733.35302734375,33.0,1642124389.226209
/summarystat/1/mean,-7724.12744140625,34.0,1642125038.751362
/summarystat/1/mean,-7801.06689453125,35.0,1642125676.558139
/summarystat/1/mean,-7872.1328125,36.0,1642126306.782058
/summarystat/1/mean,-7946.08349609375,37.0,1642126922.754623
/summarystat/1/mean,-7990.08447265625,38.0,1642127524.892453
/summarystat/1/mean,-8011.74609375,39.0,1642128119.133239
/summarystat/1/mean,-8054.54541015625,40.0,1642128704.344218
/summarystat/1/mean,-8081.71923828125,41.0,1642129284.845652
/summarystat/1/mean,-8207.0302734375,42.0,1642129859.665946
/summarystat/1/mean,-8267.92578125,43.0,1642130431.550638
/summarystat/1/mean,-8341.1669921875,44.0,1642131003.859719
/summarystat/1/mean,-8322.3671875,45.0,1642131582.438763
/summarystat/1/mean,-8387.4384765625,46.0,1642132166.671497
/summarystat/1/mean,-8388.4599609375,47.0,1642132764.947047
/summarystat/1/mean,-8511.2138671875,48.0,1642133366.778112
