metric,value,step,walltime
/main_fitness,0.0,0.0,1642379622.406882
/main_fitness,0.0,1.0,1642379631.714496
/main_fitness,0.0,2.0,1642379643.387669
/main_fitness,0.0,3.0,1642379655.845563
/main_fitness,0.0,4.0,1642379668.190174
/main_fitness,0.0,5.0,1642379680.320913
/main_fitness,0.0,6.0,1642379692.629524
/main_fitness,0.0,7.0,1642379706.943509
/main_fitness,0.0,8.0,1642379719.107061
/main_fitness,0.0,9.0,1642379732.35639
/main_fitness,0.0,10.0,1642379741.439733
/main_fitness,0.0,11.0,1642379753.561577
/main_fitness,0.0,12.0,1642379765.775148
/main_fitness,0.0,13.0,1642379779.97164
/main_fitness,0.0,14.0,1642379792.247086
/main_fitness,0.0,15.0,1642379800.74348
/main_fitness,0.0,16.0,1642379811.441044
/main_fitness,0.0,17.0,1642379819.993911
/main_fitness,0.0,18.0,1642379827.541696
/main_fitness,0.0,19.0,1642379842.496423
/main_fitness,0.0,20.0,1642379853.052179
/main_fitness,0.0,21.0,1642379861.541509
/main_fitness,0.0,22.0,1642379869.15511
/main_fitness,0.0,23.0,1642379881.583596
/main_fitness,0.0,24.0,1642379895.00859
/main_fitness,0.0,25.0,1642379908.992937
/main_fitness,0.0,26.0,1642379920.831689
/main_fitness,0.0,27.0,1642379931.353445
/main_fitness,0.0,28.0,1642379941.836487
/main_fitness,0.0,29.0,1642379953.118698
/main_fitness,0.0,30.0,1642379964.705338
/main_fitness,0.0,31.0,1642379975.436282
/main_fitness,0.0,32.0,1642379984.035036
/main_fitness,0.0,33.0,1642379994.573174
/main_fitness,0.0,34.0,1642380007.089911
/main_fitness,0.0,35.0,1642380017.939032
/main_fitness,0.0,36.0,1642380032.716757
/main_fitness,0.0,37.0,1642380045.365296
/main_fitness,0.0,38.0,1642380057.821709
/main_fitness,0.0,39.0,1642380067.751406
/main_fitness,0.0,40.0,1642380076.507316
/main_fitness,0.0,41.0,1642380087.172234
/main_fitness,0.0,42.0,1642380097.656274
/main_fitness,0.0,43.0,1642380108.168593
/main_fitness,0.0,44.0,1642380118.833673
/main_fitness,0.0,45.0,1642380130.914062
/main_fitness,0.0,46.0,1642380142.900575
/main_fitness,0.0,47.0,1642380155.486124
/main_fitness,0.0,48.0,1642380167.953554
/main_fitness,0.0,49.0,1642380181.901183
/main_fitness,0.0,50.0,1642380191.064548
/main_fitness,0.0,51.0,1642380203.646836
/main_fitness,0.0,52.0,1642380216.037346
/main_fitness,0.0,53.0,1642380231.231227
/main_fitness,0.0,54.0,1642380243.419115
/main_fitness,0.0,55.0,1642380255.610797
/main_fitness,0.0,56.0,1642380267.876131
/main_fitness,0.0,57.0,1642380279.673279
/main_fitness,0.0,58.0,1642380292.443611
/main_fitness,0.0,59.0,1642380306.685145
/main_fitness,0.0,60.0,1642380321.413456
/main_fitness,0.0,61.0,1642380331.785867
/main_fitness,0.0,62.0,1642380342.214266
/main_fitness,0.0,63.0,1642380354.320344
/main_fitness,0.0,64.0,1642380366.358682
/main_fitness,0.0,65.0,1642380378.857356
/main_fitness,0.0,66.0,1642380391.354226
/main_fitness,0.0,67.0,1642380403.870861
/main_fitness,0.0,68.0,1642380416.514809
/main_fitness,0.0,69.0,1642380430.746337
/main_fitness,0.0,70.0,1642380442.325044
/main_fitness,0.0,71.0,1642380455.611835
/main_fitness,0.0,72.0,1642380467.720346
/main_fitness,0.0,73.0,1642380480.592466
/main_fitness,0.0,74.0,1642380492.793384
/main_fitness,0.0,75.0,1642380506.275685
/main_fitness,0.0,76.0,1642380519.318833
/main_fitness,0.0,77.0,1642380532.916339
/main_fitness,0.0,78.0,1642380546.420775
/main_fitness,0.0,79.0,1642380557.105783
/main_fitness,0.0,80.0,1642380568.371893
/main_fitness,0.0,81.0,1642380579.906739
/main_fitness,0.0,82.0,1642380592.413908
/main_fitness,0.0,83.0,1642380606.040762
/main_fitness,0.0,84.0,1642380619.435093
/main_fitness,0.0,85.0,1642380629.757807
/main_fitness,0.0,86.0,1642380639.374132
/main_fitness,0.0,87.0,1642380653.240249
/main_fitness,0.0,88.0,1642380663.321843
/main_fitness,0.0,89.0,1642380676.83437
/main_fitness,0.0,90.0,1642380687.9573
/main_fitness,0.0,91.0,1642380704.412962
/main_fitness,0.0,92.0,1642380717.343515
/main_fitness,0.0,93.0,1642380729.336566
/main_fitness,0.0,94.0,1642380739.20186
/main_fitness,0.0,95.0,1642380753.028858
/main_fitness,0.0,96.0,1642380762.72706
/main_fitness,0.0,97.0,1642380774.388871
/main_fitness,0.0,98.0,1642380785.787716
/main_fitness,0.0,99.0,1642380796.806564
/main_fitness,0.0,100.0,1642380809.666606
/main_fitness,0.0,101.0,1642380822.714639
/main_fitness,0.0,102.0,1642380836.937529
/main_fitness,0.0,103.0,1642380849.785341
/main_fitness,0.0,104.0,1642380863.491247
/main_fitness,0.0,105.0,1642380877.126859
/main_fitness,0.0,106.0,1642380890.743265
/main_fitness,0.0,107.0,1642380904.053825
/main_fitness,0.0,108.0,1642380917.659753
/main_fitness,0.0,109.0,1642380934.713243
/main_fitness,0.0,110.0,1642380950.331719
/main_fitness,0.0,111.0,1642380962.216307
/main_fitness,0.0,112.0,1642380974.033731
/main_fitness,0.0,113.0,1642380983.782187
/main_fitness,0.0,114.0,1642380998.82782
/main_fitness,0.0,115.0,1642381010.986359
/main_fitness,0.0,116.0,1642381024.87222
/main_fitness,0.0,117.0,1642381037.184731
/main_fitness,0.0,118.0,1642381048.479028
/main_fitness,0.0,119.0,1642381060.845569
/main_fitness,0.0,120.0,1642381072.369637
/main_fitness,0.0,121.0,1642381084.883075
/main_fitness,0.0,122.0,1642381095.682013
/main_fitness,0.0,123.0,1642381106.358705
/main_fitness,0.0,124.0,1642381117.063459
/main_fitness,0.0,125.0,1642381128.903598
/main_fitness,0.0,126.0,1642381140.997582
/main_fitness,0.0,127.0,1642381154.457671
/main_fitness,0.0,128.0,1642381170.348531
/main_fitness,0.0,129.0,1642381181.07914
/main_fitness,0.0,130.0,1642381190.225963
/main_fitness,0.0,131.0,1642381199.408046
/main_fitness,0.0,132.0,1642381208.455357
/main_fitness,0.0,133.0,1642381223.450364
/main_fitness,0.0,134.0,1642381235.596718
/main_fitness,0.0,135.0,1642381248.739638
/main_fitness,0.0,136.0,1642381261.985348
/main_fitness,0.0,137.0,1642381271.898367
/main_fitness,0.0,138.0,1642381280.432957
/main_fitness,0.0,139.0,1642381296.889032
/main_fitness,0.0,140.0,1642381306.368215
/main_fitness,0.0,141.0,1642381315.01433
/main_fitness,0.0,142.0,1642381328.43368
/main_fitness,0.0,143.0,1642381343.381188
/main_fitness,0.0,144.0,1642381358.706811
/main_fitness,0.0,145.0,1642381368.847034
/main_fitness,0.0,146.0,1642381383.079567
/main_fitness,0.0,147.0,1642381392.654638
/main_fitness,0.0,148.0,1642381402.196903
/main_fitness,0.0,149.0,1642381415.623382
/main_fitness,0.0,150.0,1642381427.472235
/main_fitness,0.0,151.0,1642381438.980281
/main_fitness,0.0,152.0,1642381452.374918
/main_fitness,0.0,153.0,1642381465.446775
/main_fitness,0.0,154.0,1642381481.505649
/main_fitness,0.0,155.0,1642381492.665049
/main_fitness,0.0,156.0,1642381505.461691
/main_fitness,0.0,157.0,1642381519.388035
/main_fitness,0.0,158.0,1642381531.60895
/main_fitness,0.0,159.0,1642381544.116051
/main_fitness,0.0,160.0,1642381554.560256
/main_fitness,0.0,161.0,1642381569.216314
/main_fitness,0.0,162.0,1642381578.891789
/main_fitness,0.0,163.0,1642381592.568461
/main_fitness,0.0,164.0,1642381602.08379
/main_fitness,0.0,165.0,1642381611.43362
/main_fitness,0.0,166.0,1642381621.271701
/main_fitness,0.0,167.0,1642381633.110337
/main_fitness,0.0,168.0,1642381646.438301
/main_fitness,0.0,169.0,1642381659.945378
/main_fitness,0.0,170.0,1642381669.898416
/main_fitness,0.0,171.0,1642381684.619942
/main_fitness,0.0,172.0,1642381697.931511
/main_fitness,0.0,173.0,1642381708.875545
