metric,value,step,walltime
/main_fitness,0.0,0.0,1642100167.353811
/main_fitness,0.0,1.0,1642100178.06046
/main_fitness,0.0,2.0,1642100189.132569
/main_fitness,0.0,3.0,1642100201.425849
/main_fitness,0.0,4.0,1642100212.903355
/main_fitness,0.0,5.0,1642100225.08796
/main_fitness,0.0,6.0,1642100236.945232
/main_fitness,0.0,7.0,1642100248.954411
/main_fitness,0.0,8.0,1642100261.043942
/main_fitness,0.0,9.0,1642100275.444101
/main_fitness,0.0,10.0,1642100284.033409
/main_fitness,0.0,11.0,1642100292.596272
/main_fitness,0.0,12.0,1642100301.218955
/main_fitness,0.0,13.0,1642100308.956817
/main_fitness,0.0,14.0,1642100322.121687
/main_fitness,0.0,15.0,1642100335.728763
/main_fitness,0.0,16.0,1642100347.961102
/main_fitness,0.0,17.0,1642100356.525919
/main_fitness,0.0,18.0,1642100364.960381
/main_fitness,0.0,19.0,1642100374.855927
/main_fitness,0.0,20.0,1642100383.329752
/main_fitness,0.0,21.0,1642100393.597084
/main_fitness,0.0,22.0,1642100403.94483
/main_fitness,0.0,23.0,1642100415.812238
/main_fitness,0.0,24.0,1642100427.633523
/main_fitness,0.0,25.0,1642100439.867117
/main_fitness,0.0,26.0,1642100451.938307
/main_fitness,0.0,27.0,1642100464.087671
/main_fitness,0.0,28.0,1642100476.167185
/main_fitness,0.0,29.0,1642100491.203288
/main_fitness,0.0,30.0,1642100500.493584
/main_fitness,0.0,31.0,1642100514.365333
/main_fitness,0.0,32.0,1642100526.693492
/main_fitness,0.0,33.0,1642100538.81811
/main_fitness,0.0,34.0,1642100551.129381
/main_fitness,0.0,35.0,1642100563.479669
/main_fitness,0.0,36.0,1642100578.06246
/main_fitness,0.0,37.0,1642100587.566735
/main_fitness,0.0,38.0,1642100596.526272
/main_fitness,0.0,39.0,1642100606.721751
/main_fitness,0.0,40.0,1642100615.497968
/main_fitness,0.0,41.0,1642100624.429629
/main_fitness,0.0,42.0,1642100633.285176
/main_fitness,0.0,43.0,1642100641.380707
/main_fitness,0.0,44.0,1642100654.752947
/main_fitness,0.0,45.0,1642100663.489279
/main_fitness,0.0,46.0,1642100676.602422
/main_fitness,0.0,47.0,1642100688.155245
/main_fitness,0.0,48.0,1642100700.501846
/main_fitness,0.0,49.0,1642100715.470035
/main_fitness,0.0,50.0,1642100727.12456
/main_fitness,0.0,51.0,1642100736.062935
/main_fitness,0.0,52.0,1642100744.043475
/main_fitness,0.0,53.0,1642100758.247917
/main_fitness,0.0,54.0,1642100771.436204
/main_fitness,0.0,55.0,1642100780.331924
/main_fitness,0.0,56.0,1642100788.412071
/main_fitness,0.0,57.0,1642100802.425761
/main_fitness,0.0,58.0,1642100810.588733
/main_fitness,0.0,59.0,1642100827.646464
/main_fitness,0.0,60.0,1642100835.786499
/main_fitness,0.0,61.0,1642100849.68802
/main_fitness,0.0,62.0,1642100861.775201
/main_fitness,0.0,63.0,1642100876.35409
/main_fitness,0.0,64.0,1642100888.376439
/main_fitness,0.0,65.0,1642100901.152167
/main_fitness,0.0,66.0,1642100916.08922
/main_fitness,0.0,67.0,1642100927.917451
/main_fitness,0.0,68.0,1642100938.669806
/main_fitness,0.0,69.0,1642100949.117666
/main_fitness,0.0,70.0,1642100960.375092
/main_fitness,0.0,71.0,1642100972.47185
/main_fitness,0.0,72.0,1642100984.00978
/main_fitness,0.0,73.0,1642100992.992187
/main_fitness,0.0,74.0,1642101001.790784
/main_fitness,0.0,75.0,1642101010.443103
/main_fitness,0.0,76.0,1642101018.217316
/main_fitness,0.0,77.0,1642101030.604603
/main_fitness,0.0,78.0,1642101044.051078
/main_fitness,0.0,79.0,1642101058.168445
/main_fitness,0.0,80.0,1642101065.821718
/main_fitness,0.0,81.0,1642101079.630558
/main_fitness,0.0,82.0,1642101093.160441
/main_fitness,0.0,83.0,1642101105.446904
/main_fitness,0.0,84.0,1642101117.643956
/main_fitness,0.0,85.0,1642101130.050682
/main_fitness,0.0,86.0,1642101142.301009
/main_fitness,0.0,87.0,1642101155.413444
/main_fitness,0.0,88.0,1642101168.282182
/main_fitness,0.0,89.0,1642101183.338927
/main_fitness,0.0,90.0,1642101191.405491
/main_fitness,0.0,91.0,1642101205.651993
/main_fitness,0.0,92.0,1642101213.830961
/main_fitness,0.0,93.0,1642101227.437953
/main_fitness,0.0,94.0,1642101239.483431
/main_fitness,0.0,95.0,1642101252.045719
/main_fitness,0.0,96.0,1642101266.171545
/main_fitness,0.0,97.0,1642101278.267425
/main_fitness,0.0,98.0,1642101292.317131
/main_fitness,0.0,99.0,1642101306.39079
/main_fitness,0.0,100.0,1642101315.26937
/main_fitness,0.0,101.0,1642101324.105148
/main_fitness,0.0,102.0,1642101332.85665
/main_fitness,0.0,103.0,1642101341.698108
/main_fitness,0.0,104.0,1642101350.575813
/main_fitness,0.0,105.0,1642101359.582866
/main_fitness,0.0,106.0,1642101368.631204
/main_fitness,0.0,107.0,1642101376.622604
/main_fitness,0.0,108.0,1642101390.382863
/main_fitness,0.0,109.0,1642101400.877871
/main_fitness,0.0,110.0,1642101409.795934
/main_fitness,0.0,111.0,1642101417.901433
/main_fitness,0.0,112.0,1642101431.277788
/main_fitness,0.0,113.0,1642101440.096702
/main_fitness,0.0,114.0,1642101448.088976
/main_fitness,0.0,115.0,1642101461.674742
/main_fitness,0.0,116.0,1642101470.548556
/main_fitness,0.0,117.0,1642101478.614258
/main_fitness,0.0,118.0,1642101492.976037
/main_fitness,0.0,119.0,1642101510.224622
/main_fitness,0.0,120.0,1642101518.868418
/main_fitness,0.0,121.0,1642101533.680906
/main_fitness,0.0,122.0,1642101542.722317
/main_fitness,0.0,123.0,1642101557.827343
/main_fitness,0.0,124.0,1642101572.609702
/main_fitness,0.0,125.0,1642101586.290811
/main_fitness,0.0,126.0,1642101595.921264
/main_fitness,0.0,127.0,1642101604.445668
/main_fitness,0.0,128.0,1642101618.048077
/main_fitness,0.0,129.0,1642101628.273978
/main_fitness,0.0,130.0,1642101637.023798
/main_fitness,0.0,131.0,1642101645.592652
/main_fitness,0.0,132.0,1642101654.131588
/main_fitness,0.0,133.0,1642101661.944929
/main_fitness,0.0,134.0,1642101675.287089
/main_fitness,0.0,135.0,1642101690.189369
/main_fitness,0.0,136.0,1642101702.567974
/main_fitness,0.0,137.0,1642101715.599008
/main_fitness,0.0,138.0,1642101730.294341
/main_fitness,0.0,139.0,1642101745.219795
/main_fitness,0.0,140.0,1642101755.92794
/main_fitness,0.0,141.0,1642101770.659097
/main_fitness,0.0,142.0,1642101785.571429
/main_fitness,0.0,143.0,1642101798.175223
/main_fitness,0.0,144.0,1642101809.400007
/main_fitness,0.0,145.0,1642101818.648416
/main_fitness,0.0,146.0,1642101827.770706
/main_fitness,0.0,147.0,1642101836.315535
/main_fitness,0.0,148.0,1642101849.767589
/main_fitness,0.0,149.0,1642101867.118004
/main_fitness,0.0,150.0,1642101876.623718
/main_fitness,0.0,151.0,1642101886.352656
/main_fitness,0.0,152.0,1642101895.372128
/main_fitness,0.0,153.0,1642101909.648999
/main_fitness,0.0,154.0,1642101924.550291
/main_fitness,0.0,155.0,1642101940.4059
/main_fitness,0.0,156.0,1642101951.08076
/main_fitness,0.0,157.0,1642101960.66863
/main_fitness,0.0,158.0,1642101971.355883
/main_fitness,0.0,159.0,1642101988.536395
/main_fitness,0.0,160.0,1642101998.900217
/main_fitness,0.0,161.0,1642102010.901741
/main_fitness,0.0,162.0,1642102022.958405
/main_fitness,0.0,163.0,1642102035.551958
/main_fitness,0.0,164.0,1642102045.869963
/main_fitness,0.0,165.0,1642102055.88782
/main_fitness,0.0,166.0,1642102065.789669
/main_fitness,0.0,167.0,1642102074.735849
/main_fitness,0.0,168.0,1642102089.147472
/main_fitness,0.0,169.0,1642102106.517503
/main_fitness,0.0,170.0,1642102115.134755
/main_fitness,0.0,171.0,1642102129.025663
/main_fitness,0.0,172.0,1642102137.461458
/main_fitness,0.0,173.0,1642102151.176384
/main_fitness,0.0,174.0,1642102163.281521
/main_fitness,0.0,175.0,1642102175.9357
/main_fitness,0.0,176.0,1642102190.45553
/main_fitness,0.0,177.0,1642102203.243679
/main_fitness,0.0,178.0,1642102216.18107
/main_fitness,0.0,179.0,1642102231.492593
/main_fitness,0.0,180.0,1642102241.190181
/main_fitness,0.0,181.0,1642102251.026226
/main_fitness,0.0,182.0,1642102262.865476
/main_fitness,0.0,183.0,1642102274.84432
/main_fitness,0.0,184.0,1642102286.672414
/main_fitness,0.0,185.0,1642102299.436674
/main_fitness,0.0,186.0,1642102309.793106
/main_fitness,0.0,187.0,1642102319.984166
/main_fitness,0.0,188.0,1642102330.153713
/main_fitness,0.0,189.0,1642102341.723797
/main_fitness,0.0,190.0,1642102352.110252
/main_fitness,0.0,191.0,1642102364.086115
/main_fitness,0.0,192.0,1642102376.224226
/main_fitness,0.0,193.0,1642102389.177363
/main_fitness,0.0,194.0,1642102401.949001
/main_fitness,0.0,195.0,1642102415.473762
/main_fitness,0.0,196.0,1642102429.09598
/main_fitness,0.0,197.0,1642102439.414815
/main_fitness,0.0,198.0,1642102449.650787
/main_fitness,0.0,199.0,1642102461.059838
/main_fitness,0.0,200.0,1642102472.298194
/main_fitness,0.0,201.0,1642102485.775032
