metric,value,step,walltime
/main_fitness,0.0,0.0,1642669856.578621
/main_fitness,0.0,1.0,1642669867.955568
/main_fitness,0.0,2.0,1642669876.493259
/main_fitness,0.0,3.0,1642669885.037951
/main_fitness,0.0,4.0,1642669893.300701
/main_fitness,0.0,5.0,1642669905.109114
/main_fitness,0.0,6.0,1642669916.820964
/main_fitness,0.0,7.0,1642669929.197378
/main_fitness,0.0,8.0,1642669941.539485
/main_fitness,0.0,9.0,1642669955.848559
/main_fitness,0.0,10.0,1642669964.283066
/main_fitness,0.0,11.0,1642669971.698444
/main_fitness,0.0,12.0,1642669983.809205
/main_fitness,0.0,13.0,1642669996.570862
/main_fitness,0.0,14.0,1642670008.374245
/main_fitness,0.0,15.0,1642670020.196586
/main_fitness,0.0,16.0,1642670032.077367
/main_fitness,0.0,17.0,1642670044.133286
/main_fitness,0.0,18.0,1642670056.765241
/main_fitness,0.0,19.0,1642670066.042876
/main_fitness,0.0,20.0,1642670077.97622
/main_fitness,0.0,21.0,1642670089.692426
/main_fitness,0.0,22.0,1642670102.054563
/main_fitness,0.0,23.0,1642670113.910128
/main_fitness,0.0,24.0,1642670122.161583
/main_fitness,0.0,25.0,1642670130.429032
/main_fitness,0.0,26.0,1642670139.02004
/main_fitness,0.0,27.0,1642670152.852786
/main_fitness,0.0,28.0,1642670166.791685
/main_fitness,0.0,29.0,1642670180.36634
/main_fitness,0.0,30.0,1642670189.374739
/main_fitness,0.0,31.0,1642670201.372222
/main_fitness,0.0,32.0,1642670213.529396
/main_fitness,0.0,33.0,1642670222.09951
/main_fitness,0.0,34.0,1642670230.248692
/main_fitness,0.0,35.0,1642670243.71996
/main_fitness,0.0,36.0,1642670255.534793
/main_fitness,0.0,37.0,1642670267.435
/main_fitness,0.0,38.0,1642670279.360337
/main_fitness,0.0,39.0,1642670292.688914
/main_fitness,0.0,40.0,1642670301.749065
/main_fitness,0.0,41.0,1642670316.156325
/main_fitness,0.0,42.0,1642670329.148868
/main_fitness,0.0,43.0,1642670341.537172
/main_fitness,0.0,44.0,1642670353.985565
/main_fitness,0.0,45.0,1642670366.492991
/main_fitness,0.0,46.0,1642670378.590988
/main_fitness,0.0,47.0,1642670390.894576
/main_fitness,0.0,48.0,1642670403.316144
/main_fitness,0.0,49.0,1642670416.140207
/main_fitness,0.0,50.0,1642670425.091058
/main_fitness,0.0,51.0,1642670438.936708
/main_fitness,0.0,52.0,1642670452.201921
/main_fitness,0.0,53.0,1642670464.314513
/main_fitness,0.0,54.0,1642670475.841634
/main_fitness,0.0,55.0,1642670487.630767
/main_fitness,0.0,56.0,1642670499.314607
/main_fitness,0.0,57.0,1642670510.862236
/main_fitness,0.0,58.0,1642670522.541395
/main_fitness,0.0,59.0,1642670535.585509
/main_fitness,0.0,60.0,1642670546.413
/main_fitness,0.0,61.0,1642670554.379539
/main_fitness,0.0,62.0,1642670566.495687
/main_fitness,0.0,63.0,1642670576.360641
/main_fitness,0.0,64.0,1642670586.261809
/main_fitness,0.0,65.0,1642670597.69402
/main_fitness,0.0,66.0,1642670609.152453
/main_fitness,0.0,67.0,1642670620.969279
/main_fitness,0.0,68.0,1642670632.734901
/main_fitness,0.0,69.0,1642670645.644815
/main_fitness,0.0,70.0,1642670654.501405
/main_fitness,0.0,71.0,1642670666.343518
/main_fitness,0.0,72.0,1642670678.068783
/main_fitness,0.0,73.0,1642670689.914571
/main_fitness,0.0,74.0,1642670701.487374
/main_fitness,0.0,75.0,1642670708.59846
/main_fitness,0.0,76.0,1642670722.086319
/main_fitness,0.0,77.0,1642670729.979516
/main_fitness,0.0,78.0,1642670737.824635
/main_fitness,0.0,79.0,1642670746.954455
/main_fitness,0.0,80.0,1642670756.504092
/main_fitness,0.0,81.0,1642670767.459943
/main_fitness,0.0,82.0,1642670778.626297
/main_fitness,0.0,83.0,1642670790.300425
/main_fitness,0.0,84.0,1642670801.875316
/main_fitness,0.0,85.0,1642670813.53591
/main_fitness,0.0,86.0,1642670825.305379
/main_fitness,0.0,87.0,1642670836.985822
/main_fitness,0.0,88.0,1642670849.374146
/main_fitness,0.0,89.0,1642670863.549215
/main_fitness,0.0,90.0,1642670874.59939
/main_fitness,0.0,91.0,1642670887.258203
/main_fitness,0.0,92.0,1642670898.780615
/main_fitness,0.0,93.0,1642670910.214021
/main_fitness,0.0,94.0,1642670921.973013
/main_fitness,0.0,95.0,1642670933.422128
/main_fitness,0.0,96.0,1642670945.034267
/main_fitness,0.0,97.0,1642670956.72811
/main_fitness,0.0,98.0,1642670969.260741
/main_fitness,0.0,99.0,1642670983.372519
/main_fitness,0.0,100.0,1642670993.507056
/main_fitness,0.0,101.0,1642671003.363452
/main_fitness,0.0,102.0,1642671013.227354
/main_fitness,0.0,103.0,1642671023.123588
/main_fitness,0.0,104.0,1642671033.373917
/main_fitness,0.0,105.0,1642671045.264183
/main_fitness,0.0,106.0,1642671056.531878
/main_fitness,0.0,107.0,1642671068.229049
/main_fitness,0.0,108.0,1642671080.945617
/main_fitness,0.0,109.0,1642671093.717167
/main_fitness,0.0,110.0,1642671104.38563
/main_fitness,0.0,111.0,1642671115.694099
/main_fitness,0.0,112.0,1642671128.846546
/main_fitness,0.0,113.0,1642671139.06662
