metric,value,step,walltime
/main_fitness,0.0,0.0,1642188226.148679
/main_fitness,0.0,1.0,1642188251.658026
/main_fitness,0.0,2.0,1642188275.81928
/main_fitness,0.0,3.0,1642188297.663608
/main_fitness,0.0,4.0,1642188319.263394
/main_fitness,0.0,5.0,1642188346.318913
/main_fitness,0.0,6.0,1642188370.295424
/main_fitness,0.0,7.0,1642188392.492173
/main_fitness,0.0,8.0,1642188416.905164
/main_fitness,0.0,9.0,1642188442.21016
/main_fitness,0.0,10.0,1642188464.53191
/main_fitness,0.0,11.0,1642188485.909078
/main_fitness,0.0,12.0,1642188507.299111
/main_fitness,0.0,13.0,1642188534.283294
/main_fitness,0.0,14.0,1642188559.495055
/main_fitness,0.0,15.0,1642188582.123114
/main_fitness,0.0,16.0,1642188605.334452
/main_fitness,0.0,17.0,1642188630.051717
/main_fitness,0.0,18.0,1642188652.094697
/main_fitness,0.0,19.0,1642188674.592538
/main_fitness,0.0,20.0,1642188698.89202
/main_fitness,0.0,21.0,1642188721.31747
/main_fitness,0.0,22.0,1642188744.755194
/main_fitness,0.0,23.0,1642188767.746991
/main_fitness,0.0,24.0,1642188790.714356
/main_fitness,0.0,25.0,1642188813.168219
/main_fitness,0.0,26.0,1642188835.396143
/main_fitness,0.0,27.0,1642188857.76554
/main_fitness,0.0,28.0,1642188880.857989
/main_fitness,0.0,29.0,1642188903.659771
/main_fitness,0.0,30.0,1642188926.693767
/main_fitness,0.0,31.0,1642188947.984432
/main_fitness,0.0,32.0,1642188969.270126
/main_fitness,0.0,33.0,1642188990.369377
/main_fitness,0.0,34.0,1642189011.200204
/main_fitness,0.0,35.0,1642189035.61064
/main_fitness,0.0,36.0,1642189057.450457
/main_fitness,0.0,37.0,1642189082.968348
/main_fitness,0.0,38.0,1642189110.196983
/main_fitness,0.0,39.0,1642189138.447408
/main_fitness,0.0,40.0,1642189161.298734
/main_fitness,0.0,41.0,1642189183.99626
/main_fitness,0.0,42.0,1642189207.10924
/main_fitness,0.0,43.0,1642189232.019401
