metric,value,step,walltime
/main_fitness,0.0,0.0,1640422387.025327
/main_fitness,0.0,1.0,1640422408.154133
/main_fitness,0.0,2.0,1640422430.548182
/main_fitness,0.0,3.0,1640422455.035284
/main_fitness,0.0,4.0,1640422475.027665
/main_fitness,0.0,5.0,1640422502.29292
/main_fitness,0.0,6.0,1640422524.653223
/main_fitness,0.0,7.0,1640422550.59484
/main_fitness,0.0,8.0,1640422575.357629
/main_fitness,0.0,9.0,1640422603.526187
/main_fitness,0.0,10.0,1640422625.844514
/main_fitness,0.0,11.0,1640422647.142761
/main_fitness,0.0,12.0,1640422671.452772
/main_fitness,0.0,13.0,1640422692.209929
/main_fitness,0.0,14.0,1640422715.247335
/main_fitness,0.0,15.0,1640422736.933394
/main_fitness,0.0,16.0,1640422761.660225
/main_fitness,0.0,17.0,1640422781.632338
/main_fitness,0.0,18.0,1640422805.139373
/main_fitness,0.0,19.0,1640422829.504524
/main_fitness,0.0,20.0,1640422854.930711
/main_fitness,0.0,21.0,1640422876.332324
/main_fitness,0.0,22.0,1640422897.792894
/main_fitness,0.0,23.0,1640422918.753516
/main_fitness,0.0,24.0,1640422940.900845
/main_fitness,0.0,25.0,1640422964.963641
/main_fitness,0.0,26.0,1640422985.94695
/main_fitness,0.0,27.0,1640423011.216307
/main_fitness,0.0,28.0,1640423032.527241
/main_fitness,0.0,29.0,1640423060.018499
/main_fitness,0.0,30.0,1640423081.501091
/main_fitness,0.0,31.0,1640423102.188096
/main_fitness,0.0,32.0,1640423126.356143
/main_fitness,0.0,33.0,1640423152.681066
/main_fitness,0.0,34.0,1640423174.199124
/main_fitness,0.0,35.0,1640423196.387594
/main_fitness,0.0,36.0,1640423216.785252
/main_fitness,0.0,37.0,1640423244.824671
/main_fitness,0.0,38.0,1640423266.044288
/main_fitness,0.0,39.0,1640423293.581642
/main_fitness,0.0,40.0,1640423312.58793
/main_fitness,0.0,41.0,1640423339.934852
/main_fitness,0.0,42.0,1640423362.074299
/main_fitness,0.0,43.0,1640423388.29746
/main_fitness,0.0,44.0,1640423408.900695
/main_fitness,0.0,45.0,1640423431.39402
/main_fitness,0.0,46.0,1640423455.549173
/main_fitness,0.0,47.0,1640423483.444248
/main_fitness,0.0,48.0,1640423508.331546
/main_fitness,0.0,49.0,1640423532.36035
/main_fitness,0.0,50.0,1640423552.733709
/main_fitness,0.0,51.0,1640423575.670145
/main_fitness,0.0,52.0,1640423597.224067
/main_fitness,0.0,53.0,1640423623.27202
/main_fitness,0.0,54.0,1640423644.957474
/main_fitness,0.0,55.0,1640423671.096456
/main_fitness,0.0,56.0,1640423699.417701
/main_fitness,0.0,57.0,1640423720.414732
/main_fitness,0.0,58.0,1640423745.401699
/main_fitness,0.0,59.0,1640423768.50135
/main_fitness,0.0,60.0,1640423791.135178
/main_fitness,0.0,61.0,1640423814.774793
/main_fitness,0.0,62.0,1640423836.349447
/main_fitness,0.0,63.0,1640423862.596247
/main_fitness,0.0,64.0,1640423888.510315
/main_fitness,0.0,65.0,1640423914.200699
/main_fitness,0.0,66.0,1640423936.607091
/main_fitness,0.0,67.0,1640423955.892927
/main_fitness,0.0,68.0,1640423984.388642
/main_fitness,0.0,69.0,1640424010.177495
/main_fitness,0.0,70.0,1640424030.612359
/main_fitness,0.0,71.0,1640424051.184855
/main_fitness,0.0,72.0,1640424076.010262
/main_fitness,0.0,73.0,1640424097.128949
/main_fitness,0.0,74.0,1640424120.299024
/main_fitness,0.0,75.0,1640424146.399156
/main_fitness,0.0,76.0,1640424166.954932
/main_fitness,0.0,77.0,1640424187.722442
/main_fitness,0.0,78.0,1640424210.151473
/main_fitness,0.0,79.0,1640424236.917447
/main_fitness,0.0,80.0,1640424258.643403
/main_fitness,0.0,81.0,1640424280.663018
/main_fitness,0.0,82.0,1640424302.251541
/main_fitness,0.0,83.0,1640424326.956413
/main_fitness,0.0,84.0,1640424348.913831
/main_fitness,0.0,85.0,1640424373.84915
/main_fitness,0.0,86.0,1640424395.762159
/main_fitness,0.0,87.0,1640424419.286186
/main_fitness,0.0,88.0,1640424441.377365
/main_fitness,0.0,89.0,1640424468.644623
/main_fitness,0.0,90.0,1640424490.457698
/main_fitness,0.0,91.0,1640424511.893227
/main_fitness,0.0,92.0,1640424533.447445
/main_fitness,0.0,93.0,1640424553.248306
/main_fitness,0.0,94.0,1640424581.671954
/main_fitness,0.0,95.0,1640424602.848147
/main_fitness,0.0,96.0,1640424631.313782
/main_fitness,0.0,97.0,1640424653.283677
/main_fitness,0.0,98.0,1640424675.922068
/main_fitness,0.0,99.0,1640424700.441229
/main_fitness,0.0,100.0,1640424723.178191
/main_fitness,0.0,101.0,1640424747.33027
/main_fitness,0.0,102.0,1640424768.78141
/main_fitness,0.0,103.0,1640424790.926723
/main_fitness,0.0,104.0,1640424818.655315
/main_fitness,0.0,105.0,1640424840.063983
/main_fitness,0.0,106.0,1640424864.132131
/main_fitness,0.0,107.0,1640424885.606326
/main_fitness,0.0,108.0,1640424911.70069
/main_fitness,0.0,109.0,1640424936.991659
/main_fitness,0.0,110.0,1640424958.386349
/main_fitness,0.0,111.0,1640424980.135919
/main_fitness,0.0,112.0,1640425005.629734
/main_fitness,0.0,113.0,1640425031.181627
/main_fitness,0.0,114.0,1640425051.939254
/main_fitness,0.0,115.0,1640425074.026214
/main_fitness,0.0,116.0,1640425100.29998
/main_fitness,0.0,117.0,1640425122.168545
/main_fitness,0.0,118.0,1640425143.717801
/main_fitness,0.0,119.0,1640425170.930839
/main_fitness,0.0,120.0,1640425194.847134
/main_fitness,0.0,121.0,1640425217.327105
/main_fitness,0.0,122.0,1640425238.651606
/main_fitness,0.0,123.0,1640425262.999543
/main_fitness,0.0,124.0,1640425284.795364
/main_fitness,0.0,125.0,1640425311.14112
/main_fitness,0.0,126.0,1640425332.539814
/main_fitness,0.0,127.0,1640425355.588668
/main_fitness,0.0,128.0,1640425378.304049
/main_fitness,0.0,129.0,1640425408.929133
/main_fitness,0.0,130.0,1640425437.190104
/main_fitness,0.0,131.0,1640425459.804817
/main_fitness,0.0,132.0,1640425480.808427
/main_fitness,0.0,133.0,1640425505.786359
/main_fitness,0.0,134.0,1640425526.17535
